parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr
398,2,100,0,4,4,713.781517,718.853618,5.040865,0x4051c7
398,2,100,1,4,4,713.781596,718.809384,4.191894,0x4051c7
398,2,100,2,4,4,713.781431,718.809078,4.133946,0x4051c7
398,2,100,3,4,4,713.781354,718.807922,3.600590,0x4051c7
399,3,100,0,4,4,718.896291,719.152421,0.256130,0x405208
399,3,100,1,4,4,718.895465,719.131485,0.236020,0x405208
399,3,100,2,4,4,718.895524,719.132043,0.236519,0x405208
399,3,100,3,4,4,718.895399,719.102750,0.207351,0x405208
400,4,100,0,4,4,719.303253,719.343222,0.039969,0x4052be
400,4,100,1,4,4,719.303375,719.326069,0.022694,0x4052be
400,4,100,2,4,4,719.303190,719.326217,0.023027,0x4052be
400,4,100,3,4,4,719.303118,719.324792,0.021674,0x4052be
401,5,100,0,4,4,719.359821,719.406611,0.046790,0x405310
401,5,100,1,4,4,719.359926,719.392639,0.032713,0x405310
401,5,100,2,4,4,719.359868,719.391908,0.032040,0x405310
401,5,100,3,4,4,719.359756,719.388832,0.029076,0x405310
798,2,200,0,4,4,1257.825151,1261.939205,3.566666,0x4051c7
798,2,200,1,4,4,1257.825295,1261.939603,4.084538,0x4051c7
798,2,200,2,4,4,1257.825193,1261.939796,4.018508,0x4051c7
798,2,200,3,4,4,1257.825176,1261.938507,3.493696,0x4051c7
799,3,200,0,4,4,1261.968502,1262.175319,0.206817,0x405208
799,3,200,1,4,4,1261.968414,1262.200069,0.231655,0x405208
799,3,200,2,4,4,1261.968455,1262.197796,0.229341,0x405208
799,3,200,3,4,4,1261.968343,1262.168575,0.200232,0x405208
800,4,200,0,4,4,1262.226427,1262.248623,0.022196,0x4052be
800,4,200,1,4,4,1262.226474,1262.249489,0.023015,0x4052be
800,4,200,2,4,4,1262.226360,1262.249278,0.022918,0x4052be
800,4,200,3,4,4,1262.226237,1262.247754,0.021517,0x4052be
801,5,200,0,4,4,1262.257309,1262.286369,0.029060,0x405310
801,5,200,1,4,4,1262.257254,1262.289809,0.032555,0x405310
801,5,200,2,4,4,1262.257204,1262.288946,0.031742,0x405310
801,5,200,3,4,4,1262.257138,1262.286435,0.029297,0x405310
1198,2,300,0,4,4,1772.866291,1777.023637,3.646048,0x4051c7
1198,2,300,1,4,4,1772.866366,1777.024020,4.094946,0x4051c7
1198,2,300,2,4,4,1772.866418,1777.024425,4.099913,0x4051c7
1198,2,300,3,4,4,1772.866366,1777.022871,3.520440,0x4051c7
1199,3,300,0,4,4,1777.042595,1777.246842,0.204247,0x405208
1199,3,300,1,4,4,1777.043067,1777.273999,0.230932,0x405208
1199,3,300,2,4,4,1777.043014,1777.272843,0.229829,0x405208
1199,3,300,3,4,4,1777.042904,1777.243066,0.200162,0x405208
1200,4,300,0,4,4,1777.299837,1777.321834,0.021997,0x4052be
1200,4,300,1,4,4,1777.299977,1777.323138,0.023161,0x4052be
1200,4,300,2,4,4,1777.299903,1777.322957,0.023054,0x4052be
1200,4,300,3,4,4,1777.299782,1777.321390,0.021608,0x4052be
1201,5,300,0,4,4,1777.331001,1777.360429,0.029428,0x405310
1201,5,300,1,4,4,1777.331004,1777.365322,0.034318,0x405310
1201,5,300,2,4,4,1777.330989,1777.363309,0.032320,0x405310
1201,5,300,3,4,4,1777.330988,1777.360356,0.029368,0x405310
1598,2,400,0,4,4,2286.174518,2290.071402,3.449117,0x4051c7
1598,2,400,1,4,4,2286.174639,2290.072265,3.868986,0x4051c7
1598,2,400,2,4,4,2286.174572,2290.072338,3.797013,0x4051c7
1598,2,400,3,4,4,2286.174450,2290.071119,3.321399,0x4051c7
1599,3,400,0,4,4,2290.089125,2290.296048,0.206923,0x405208
1599,3,400,1,4,4,2290.089456,2290.317089,0.227633,0x405208
1599,3,400,2,4,4,2290.089505,2290.317938,0.228433,0x405208
1599,3,400,3,4,4,2290.089395,2290.289568,0.200173,0x405208
1600,4,400,0,4,4,2290.343250,2290.365716,0.022466,0x4052be
1600,4,400,1,4,4,2290.343331,2290.366688,0.023357,0x4052be
1600,4,400,2,4,4,2290.343200,2290.366303,0.023103,0x4052be
1600,4,400,3,4,4,2290.343126,2290.364623,0.021497,0x4052be
1601,5,400,0,4,4,2290.374563,2290.404161,0.029598,0x405310
1601,5,400,1,4,4,2290.374676,2290.407460,0.032784,0x405310
1601,5,400,2,4,4,2290.374510,2290.406412,0.031902,0x405310
1601,5,400,3,4,4,2290.374617,2290.404730,0.030113,0x405310
1998,2,500,0,4,4,2794.793396,2798.853888,3.669302,0x4051c7
1998,2,500,1,4,4,2794.793469,2798.854891,4.021692,0x4051c7
1998,2,500,2,4,4,2794.793407,2798.854961,4.007780,0x4051c7
1998,2,500,3,4,4,2794.793408,2798.853513,3.555918,0x4051c7
1999,3,500,0,4,4,2798.873010,2799.078934,0.205924,0x405208
1999,3,500,1,4,4,2798.873056,2799.100885,0.227829,0x405208
1999,3,500,2,4,4,2798.873117,2799.102674,0.229557,0x405208
1999,3,500,3,4,4,2798.872943,2799.074605,0.201662,0x405208
2000,4,500,0,4,4,2799.133763,2799.156226,0.022463,0x4052be
2000,4,500,1,4,4,2799.134208,2799.157729,0.023521,0x4052be
2000,4,500,2,4,4,2799.134089,2799.157422,0.023333,0x4052be
2000,4,500,3,4,4,2799.133994,2799.155715,0.021721,0x4052be
2001,5,500,0,4,4,2799.165537,2799.196354,0.030817,0x405310
2001,5,500,1,4,4,2799.165531,2799.198392,0.032861,0x405310
2001,5,500,2,4,4,2799.165551,2799.197290,0.031739,0x405310
2001,5,500,3,4,4,2799.165582,2799.194739,0.029157,0x405310
2398,2,600,0,4,4,3298.251105,3302.251551,3.617414,0x4051c7
2398,2,600,1,4,4,3298.251166,3302.251237,3.955485,0x4051c7
2398,2,600,2,4,4,3298.251224,3302.251697,3.931411,0x4051c7
2398,2,600,3,4,4,3298.251036,3302.249675,3.524859,0x4051c7
2399,3,600,0,4,4,3302.280645,3302.485663,0.205018,0x405208
2399,3,600,1,4,4,3302.280699,3302.506298,0.225599,0x405208
2399,3,600,2,4,4,3302.280596,3302.507430,0.226834,0x405208
2399,3,600,3,4,4,3302.280527,3302.482791,0.202264,0x405208
2400,4,600,0,4,4,3302.581565,3302.609641,0.028076,0x4052be
2400,4,600,1,4,4,3302.581672,3302.605128,0.023456,0x4052be
2400,4,600,2,4,4,3302.581616,3302.605214,0.023598,0x4052be
2400,4,600,3,4,4,3302.581497,3302.603342,0.021845,0x4052be
2401,5,600,0,4,4,3302.619704,3302.653874,0.034170,0x405310
2401,5,600,1,4,4,3302.619800,3302.652514,0.032714,0x405310
2401,5,600,2,4,4,3302.619837,3302.653717,0.033880,0x405310
2401,5,600,3,4,4,3302.619727,3302.648626,0.028899,0x405310
2798,2,700,0,4,4,3822.121834,3826.228910,3.648612,0x4051c7
