parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,4,4,9975.850735,10073.148412,64.378200,0x404f48,1,11982919,3572966,8409953
398,2,100,1,4,4,9976.093935,10073.528441,96.742532,0x404f48,1,17023123,5100103,11923020
398,2,100,2,4,4,9975.969126,10073.487856,95.658375,0x404f48,1,17004884,5056840,11948044
398,2,100,3,4,4,9976.220103,10073.075215,63.467519,0x404f48,1,12203673,3434259,8769414
399,3,100,0,4,4,10073.617144,10073.797775,0.180631,0x404fa0,1,11565,3139,8426
399,3,100,1,4,4,10073.617783,10073.869831,0.252048,0x404fa0,1,17990,5951,12039
399,3,100,2,4,4,10073.617926,10073.871491,0.253565,0x404fa0,1,18299,6206,12093
399,3,100,3,4,4,10073.617906,10073.779275,0.161369,0x404fa0,1,11143,2932,8211
400,4,100,0,4,4,10073.919419,10073.951074,0.031655,0x405050,1,658,325,333
400,4,100,1,4,4,10073.919438,10073.961450,0.042012,0x405050,1,305,124,181
400,4,100,2,4,4,10073.919417,10073.961664,0.042247,0x405050,1,382,202,180
400,4,100,3,4,4,10073.919141,10073.947461,0.028320,0x405050,1,303,160,143
401,5,100,0,4,4,10073.972617,10073.997374,0.024757,0x4050b7,1,230,152,78
401,5,100,1,4,4,10073.973226,10074.006415,0.033189,0x4050b7,1,1921,730,1191
401,5,100,2,4,4,10073.973113,10074.006237,0.033124,0x4050b7,1,1595,435,1160
401,5,100,3,4,4,10073.972531,10073.997611,0.025080,0x4050b7,1,682,285,397
798,2,200,0,4,4,19794.747817,19891.948555,62.927299,0x404f48,1,11974380,3556005,8418375
798,2,200,1,4,4,19794.747275,19892.345721,95.285872,0x404f48,1,17019033,5065212,11953821
798,2,200,2,4,4,19794.747130,19892.304634,95.223651,0x404f48,1,16996740,5028925,11967815
798,2,200,3,4,4,19794.746855,19891.899781,62.001832,0x404f48,1,12202582,3397061,8805521
799,3,200,0,4,4,19892.403513,19892.581740,0.178227,0x404fa0,1,11647,2920,8727
799,3,200,1,4,4,19892.403675,19892.659627,0.255952,0x404fa0,1,18006,6105,11901
799,3,200,2,4,4,19892.403965,19892.655737,0.251772,0x404fa0,1,18273,6241,12032
799,3,200,3,4,4,19892.403624,19892.571129,0.167505,0x404fa0,1,11230,3076,8154
800,4,200,0,4,4,19892.705892,19892.739344,0.033452,0x405050,1,553,264,289
800,4,200,1,4,4,19892.705828,19892.745538,0.039710,0x405050,1,283,104,179
800,4,200,2,4,4,19892.705603,19892.745467,0.039864,0x405050,1,405,179,226
800,4,200,3,4,4,19892.705571,19892.736052,0.030481,0x405050,1,270,147,123
801,5,200,0,4,4,19892.755779,19892.780816,0.025037,0x4050b7,1,286,198,88
801,5,200,1,4,4,19892.756387,19892.787303,0.030916,0x4050b7,1,1380,294,1086
801,5,200,2,4,4,19892.756541,19892.787574,0.031033,0x4050b7,1,1585,433,1152
801,5,200,3,4,4,19892.755828,19892.779437,0.023609,0x4050b7,1,695,294,401
1198,2,300,0,4,4,29625.139682,29722.855984,64.150525,0x404f48,1,11980397,3568513,8411884
1198,2,300,1,4,4,29625.140943,29723.257144,96.931105,0x404f48,1,17020996,5076697,11944299
1198,2,300,2,4,4,29625.139187,29723.225946,95.993859,0x404f48,1,17007167,5029228,11977939
1198,2,300,3,4,4,29625.139254,29722.799174,63.752800,0x404f48,1,12201828,3403573,8798255
1199,3,300,0,4,4,29723.300541,29723.485880,0.185339,0x404fa0,1,11697,3068,8629
1199,3,300,1,4,4,29723.301285,29723.551347,0.250062,0x404fa0,1,17976,5929,12047
1199,3,300,2,4,4,29723.301096,29723.556382,0.255286,0x404fa0,1,18273,6138,12135
1199,3,300,3,4,4,29723.301441,29723.463392,0.161951,0x404fa0,1,11161,2958,8203
1200,4,300,0,4,4,29723.602680,29723.632699,0.030019,0x405050,1,505,253,252
1200,4,300,1,4,4,29723.602661,29723.642838,0.040177,0x405050,1,254,99,155
1200,4,300,2,4,4,29723.602434,29723.642162,0.039728,0x405050,1,281,121,160
1200,4,300,3,4,4,29723.602432,29723.634529,0.032097,0x405050,1,244,136,108
1201,5,300,0,4,4,29723.652768,29723.675927,0.023159,0x4050b7,1,202,133,69
1201,5,300,1,4,4,29723.653789,29723.685291,0.031502,0x4050b7,1,1396,292,1104
1201,5,300,2,4,4,29723.653764,29723.684742,0.030978,0x4050b7,1,1694,530,1164
1201,5,300,3,4,4,29723.653280,29723.676775,0.023495,0x4050b7,1,726,311,415
1598,2,400,0,4,4,39468.899028,39565.968529,63.480949,0x404f48,1,11975687,3572073,8403614
1598,2,400,1,4,4,39468.898470,39566.360490,95.742024,0x404f48,1,17018274,5060455,11957819
1598,2,400,2,4,4,39468.898599,39566.321685,95.683804,0x404f48,1,17003085,5043502,11959583
1598,2,400,3,4,4,39468.898668,39565.905110,62.562096,0x404f48,1,12198993,3397829,8801164
1599,3,400,0,4,4,39566.420392,39566.602440,0.182048,0x404fa0,1,11660,3167,8493
1599,3,400,1,4,4,39566.420392,39566.670075,0.249683,0x404fa0,1,17927,5920,12007
1599,3,400,2,4,4,39566.420303,39566.672359,0.252056,0x404fa0,1,18299,6173,12126
1599,3,400,3,4,4,39566.420282,39566.582450,0.162168,0x404fa0,1,11236,2936,8300
1600,4,400,0,4,4,39566.718181,39566.750643,0.032462,0x405050,1,566,284,282
1600,4,400,1,4,4,39566.717910,39566.757885,0.039975,0x405050,1,278,92,186
1600,4,400,2,4,4,39566.717760,39566.757632,0.039872,0x405050,1,417,196,221
1600,4,400,3,4,4,39566.717735,39566.752517,0.034782,0x405050,1,265,123,142
1601,5,400,0,4,4,39566.768056,39566.791442,0.023386,0x4050b7,1,204,130,74
1601,5,400,1,4,4,39566.768363,39566.799219,0.030856,0x4050b7,1,1502,386,1116
1601,5,400,2,4,4,39566.768674,39566.799345,0.030671,0x4050b7,1,1454,332,1122
1601,5,400,3,4,4,39566.768201,39566.791769,0.023568,0x4050b7,1,627,276,351
1998,2,500,0,4,4,49290.783251,49388.128958,63.855874,0x404f48,1,11975664,3573430,8402234
1998,2,500,1,4,4,49290.782797,49388.514046,95.859689,0x404f48,1,17015159,5075442,11939717
1998,2,500,2,4,4,49290.784633,49388.476965,95.744267,0x404f48,1,17000910,5040589,11960321
1998,2,500,3,4,4,49290.782952,49388.064877,62.991180,0x404f48,1,12203508,3397675,8805833
1999,3,500,0,4,4,49388.556106,49388.737034,0.180928,0x404fa0,1,11663,3167,8496
1999,3,500,1,4,4,49388.556422,49388.812387,0.255965,0x404fa0,1,18020,6061,11959
1999,3,500,2,4,4,49388.556509,49388.812852,0.256343,0x404fa0,1,18379,6220,12159
1999,3,500,3,4,4,49388.556426,49388.713554,0.157128,0x404fa0,1,11198,2929,8269
2000,4,500,0,4,4,49388.862432,49388.891739,0.029307,0x405050,1,525,243,282
2000,4,500,1,4,4,49388.862430,49388.902946,0.040516,0x405050,1,343,144,199
2000,4,500,2,4,4,49388.862444,49388.902286,0.039842,0x405050,1,313,134,179
2000,4,500,3,4,4,49388.862355,49388.893396,0.031041,0x405050,1,282,137,145
2001,5,500,0,4,4,49388.913532,49388.937672,0.024140,0x4050b7,1,247,163,84
2001,5,500,1,4,4,49388.913758,49388.944546,0.030788,0x4050b7,1,1736,538,1198
2001,5,500,2,4,4,49388.913622,49388.944809,0.031187,0x4050b7,1,1518,376,1142
2001,5,500,3,4,4,49388.913130,49388.936730,0.023600,0x4050b7,1,619,230,389
2398,2,600,0,4,4,59126.896374,59224.970692,63.921168,0x404f48,1,11980412,3583943,8396469
2398,2,600,1,4,4,59126.896080,59225.346971,96.643778,0x404f48,1,17019715,5064472,11955243
2398,2,600,2,4,4,59126.896136,59225.310558,96.414646,0x404f48,1,17002827,5030390,11972437
2398,2,600,3,4,4,59126.896071,59224.890745,63.213095,0x404f48,1,12198598,3398801,8799797
2399,3,600,0,4,4,59225.389131,59225.572385,0.183254,0x404fa0,1,11680,2993,8687
2399,3,600,1,4,4,59225.389303,59225.642662,0.253359,0x404fa0,1,18018,6010,12008
2399,3,600,2,4,4,59225.389530,59225.638893,0.249363,0x404fa0,1,18250,6192,12058
2399,3,600,3,4,4,59225.389240,59225.548517,0.159277,0x404fa0,1,11196,2973,8223
2400,4,600,0,4,4,59225.688453,59225.722662,0.034209,0x405050,1,559,262,297
2400,4,600,1,4,4,59225.688255,59225.728537,0.040282,0x405050,1,291,108,183
2400,4,600,2,4,4,59225.688149,59225.728241,0.040092,0x405050,1,329,156,173
2400,4,600,3,4,4,59225.688134,59225.722973,0.034839,0x405050,1,285,147,138
2401,5,600,0,4,4,59225.738453,59225.761890,0.023437,0x4050b7,1,202,140,62
2401,5,600,1,4,4,59225.739298,59225.769968,0.030670,0x4050b7,1,1390,274,1116
2401,5,600,2,4,4,59225.739350,59225.770543,0.031193,0x4050b7,1,1652,489,1163
2401,5,600,3,4,4,59225.738948,59225.762018,0.023070,0x4050b7,1,670,263,407
2798,2,700,0,4,4,68943.328805,69042.456996,64.603147,0x404f48,1,11979905,3584675,8395230
