parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,9879.926359,9979.829148,75.184497,0x404f48,1,11816425,9920152,1896273,32,100.000000,1,1,99.917691,1.200000,0.800000,cat,1,1,1,1,2433024,2252800,0,81136394240,81977139200,839483392,81136394240,81977139200,839483392,-1,-1,-1
398,2,100,1,4,4,9879.911457,9979.626136,91.490544,0x404f48,1,17002130,2016042,14986088,40,100.000000,1,1,99.917691,1.200000,0.800000,cat,7,fe,1,1,28925952,28655616,360448,15779332096,15940902912,161570816,15779332096,15940902912,161570816,-1,-1,-1
398,2,100,2,4,4,9880.051640,9979.553210,92.756991,0x404f48,1,16991497,1950160,15041337,48,100.000000,1,1,99.917691,1.200000,0.800000,cat,7,7f00,1,1,27484160,26853376,-450560,8732303360,8822685696,90382336,8732303360,8822685696,90382336,-1,-1,-1
398,2,100,3,4,4,9880.177901,9979.789700,73.768592,0x404f48,1,12069545,9883802,2185743,56,100.000000,1,1,99.917691,1.200000,0.800000,cat,1,1,1,1,2973696,2793472,1171456,89544384512,90474340352,929325056,89544384512,90474340352,929415168,-1,-1,-1
399,3,100,0,4,4,9979.969925,9980.224363,0.254438,0x404fa0,1,11430,7895,3535,32,100.000000,1,1,0.330349,1.200000,0.800000,cat,1,1,1,1,2433024,2252800,-180224,81977679872,81979121664,1441792,81977679872,81979121664,1441792,-1,-1,-1
399,3,100,1,4,4,9979.979065,9980.182870,0.203805,0x404fa0,1,17895,2318,15577,40,100.000000,1,1,0.330349,1.200000,0.800000,cat,7,fe,1,1,28835840,28925952,90112,15940902912,15941353472,450560,15940902912,15941353472,450560,-1,-1,-1
399,3,100,2,4,4,9980.041079,9980.300274,0.259195,0x404fa0,1,14517,1818,12699,48,100.000000,1,1,0.330349,1.200000,0.800000,cat,7,7f00,1,1,28835840,28475392,-360448,8822685696,8822865920,180224,8822685696,8822865920,180224,-1,-1,-1
399,3,100,3,4,4,9979.991269,9980.220323,0.229054,0x404fa0,1,11302,7480,3822,56,100.000000,1,1,0.330349,1.200000,0.800000,cat,1,1,1,1,2793472,3153920,360448,90474340352,90475872256,1531904,90474340352,90475872256,1531904,-1,-1,-1
400,4,100,0,4,4,9980.422784,9980.457528,0.034744,0x405050,1,661,504,157,32,100.000000,1,1,0.314787,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,81979842560,81979842560,0,81979842560,81979842560,0,-1,-1,-1
400,4,100,1,4,4,9980.401900,9980.442402,0.040502,0x405050,1,267,42,225,40,100.000000,1,1,0.314787,1.200000,0.800000,cat,7,fe,1,1,28925952,28655616,-270336,15941353472,15941353472,0,15941353472,15941353472,0,-1,-1,-1
400,4,100,2,4,4,9980.672478,9980.716687,0.044209,0x405050,1,4296,449,3847,48,100.000000,1,1,0.314787,1.200000,0.800000,cat,7,7f00,1,1,29016064,28925952,-90112,8822865920,8822865920,0,8822865920,8822865920,0,-1,-1,-1
400,4,100,3,4,4,9980.411404,9980.439568,0.028164,0x405050,1,295,213,82,56,100.000000,1,1,0.314787,1.200000,0.800000,cat,1,1,1,1,3063808,2973696,-90112,90475962368,90475962368,0,90475962368,90475962368,0,-1,-1,-1
401,5,100,0,4,4,9980.792866,9980.818820,0.025954,0x4050b7,1,43,22,21,32,100.000000,1,1,0.066671,1.200000,0.800000,cat,1,1,1,1,2613248,2523136,-90112,81980022784,81980022784,0,81980022784,81980022784,0,-1,-1,-1
401,5,100,1,4,4,9980.806826,9980.840757,0.033931,0x4050b7,1,1177,151,1026,40,100.000000,1,1,0.066671,1.200000,0.800000,cat,7,fe,1,1,28745728,28925952,180224,15941443584,15941443584,0,15941443584,15941443584,0,-1,-1,-1
401,5,100,2,4,4,9980.814331,9980.850514,0.036183,0x4050b7,1,2532,342,2190,48,100.000000,1,1,0.066671,1.200000,0.800000,cat,7,7f00,1,1,29016064,28925952,-90112,8822865920,8822956032,90112,8822865920,8822956032,90112,-1,-1,-1
401,5,100,3,4,4,9980.783843,9980.808599,0.024756,0x4050b7,1,485,148,337,56,100.000000,1,1,0.066671,1.200000,0.800000,cat,1,1,1,1,2973696,2973696,0,90476052480,90476142592,90112,90476052480,90476142592,90112,-1,-1,-1
798,2,200,0,4,4,19620.083002,19717.693964,74.419638,0x404f48,1,11805166,9869245,1935921,32,100.000000,1,1,97.613077,1.200000,0.800000,cat,1,1,1,1,2523136,1712128,270336,165171961856,166007840768,834437120,165171961856,166007840768,834437120,-1,-1,-1
798,2,200,1,4,4,19620.083141,19717.486758,91.317684,0x404f48,1,17004694,1996316,15008378,40,100.000000,1,1,97.613077,1.200000,0.800000,cat,7,fe,1,1,28385280,28475392,-270336,32105193472,32264781824,159408128,32105193472,32264781824,159408128,-1,-1,-1
798,2,200,2,4,4,19620.080887,19717.420538,89.912107,0x404f48,1,16982785,1926482,15056303,48,100.000000,1,1,97.613077,1.200000,0.800000,cat,7,7f00,1,1,27303936,27844608,720896,17643929600,17731969024,88039424,17643929600,17731969024,88039424,-1,-1,-1
798,2,200,3,4,4,19620.082869,19717.651191,73.032896,0x404f48,1,12064083,9886102,2177981,56,100.000000,1,1,97.613077,1.200000,0.800000,cat,1,1,1,1,2793472,3424256,2613248,182076522496,183002603520,925810688,182076522496,183002603520,925810688,-1,-1,-1
799,3,200,0,4,4,19717.813425,19718.075704,0.262279,0x404fa0,1,11480,8030,3450,32,100.000000,1,1,0.262279,1.200000,0.800000,cat,1,1,1,1,1892352,1712128,-180224,166008291328,166009462784,1171456,166008291328,166009462784,1171456,-1,-1,-1
799,3,200,1,4,4,19717.822087,19718.033548,0.211461,0x404fa0,1,17864,2327,15537,40,100.000000,1,1,0.262279,1.200000,0.800000,cat,7,fe,1,1,28565504,28745728,180224,32264781824,32265232384,450560,32264781824,32265232384,450560,-1,-1,-1
799,3,200,2,4,4,19717.827427,19718.034141,0.206714,0x404fa0,1,18169,2600,15569,48,100.000000,1,1,0.262279,1.200000,0.800000,cat,7,7f00,1,1,27754496,27664384,-90112,17731969024,17732059136,90112,17731969024,17732059136,90112,-1,-1,-1
799,3,200,3,4,4,19717.819948,19718.056776,0.236828,0x404fa0,1,11341,7763,3578,56,100.000000,1,1,0.262279,1.200000,0.800000,cat,1,1,1,1,3244032,3153920,-90112,183002693632,183003865088,1171456,183002693632,183003865088,1171456,-1,-1,-1
800,4,200,0,4,4,19718.180382,19718.214526,0.034144,0x405050,1,753,586,167,32,100.000000,1,1,0.054263,1.200000,0.800000,cat,1,1,1,1,1802240,1802240,0,166010454016,166010454016,0,166010454016,166010454016,0,-1,-1,-1
800,4,200,1,4,4,19718.195058,19718.234645,0.039587,0x405050,1,320,75,245,40,100.000000,1,1,0.054263,1.200000,0.800000,cat,7,fe,1,1,28745728,28655616,-90112,32265232384,32265232384,0,32265232384,32265232384,0,-1,-1,-1
