parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr
398,2,100,0,4,4,494.578833,498.507044,3.578191,0x40500b
398,2,100,1,4,4,494.578787,498.506782,3.878015,0x40500b
398,2,100,2,4,4,494.578733,498.506662,3.833715,0x40500b
398,2,100,3,4,4,494.578663,498.505454,3.381092,0x40500b
399,3,100,0,4,4,498.540742,498.752058,0.211316,0x40504c
399,3,100,1,4,4,498.540859,498.776313,0.235454,0x40504c
399,3,100,2,4,4,498.540860,498.771671,0.230811,0x40504c
399,3,100,3,4,4,498.540687,498.742268,0.201581,0x40504c
400,4,100,0,4,4,498.802040,498.824936,0.022896,0x4050f7
400,4,100,1,4,4,498.802162,498.825959,0.023797,0x4050f7
400,4,100,2,4,4,498.802100,498.825904,0.023804,0x4050f7
400,4,100,3,4,4,498.801966,498.824344,0.022378,0x4050f7
401,5,100,0,4,4,498.834995,498.863991,0.028996,0x405149
401,5,100,1,4,4,498.834945,498.866512,0.031567,0x405149
401,5,100,2,4,4,498.834891,498.866455,0.031564,0x405149
401,5,100,3,4,4,498.834800,498.863572,0.028772,0x405149
798,2,200,0,4,4,1001.199611,1005.099413,3.518099,0x40500b
798,2,200,1,4,4,1001.199564,1005.098917,3.847230,0x40500b
798,2,200,2,4,4,1001.199668,1005.098727,3.845877,0x40500b
798,2,200,3,4,4,1001.199503,1005.097861,3.376099,0x40500b
799,3,200,0,4,4,1005.117357,1005.328127,0.210770,0x40504c
799,3,200,1,4,4,1005.117756,1005.348739,0.230983,0x40504c
799,3,200,2,4,4,1005.117699,1005.349156,0.231457,0x40504c
799,3,200,3,4,4,1005.117804,1005.320517,0.202713,0x40504c
800,4,200,0,4,4,1005.374231,1005.397048,0.022817,0x4050f7
800,4,200,1,4,4,1005.374280,1005.398065,0.023785,0x4050f7
800,4,200,2,4,4,1005.374330,1005.397946,0.023616,0x4050f7
800,4,200,3,4,4,1005.374177,1005.396559,0.022382,0x4050f7
801,5,200,0,4,4,1005.406296,1005.435299,0.029003,0x405149
801,5,200,1,4,4,1005.406344,1005.438390,0.032046,0x405149
801,5,200,2,4,4,1005.406402,1005.437445,0.031043,0x405149
801,5,200,3,4,4,1005.406222,1005.434988,0.028766,0x405149
1198,2,300,0,4,4,1507.730338,1511.631335,3.566175,0x40500b
1198,2,300,1,4,4,1507.730565,1511.630952,3.843871,0x40500b
1198,2,300,2,4,4,1507.730441,1511.630792,3.852075,0x40500b
1198,2,300,3,4,4,1507.730512,1511.629397,3.386445,0x40500b
1199,3,300,0,4,4,1511.649424,1511.861049,0.211625,0x40504c
1199,3,300,1,4,4,1511.649479,1511.883312,0.233833,0x40504c
1199,3,300,2,4,4,1511.649352,1511.883260,0.233908,0x40504c
1199,3,300,3,4,4,1511.649289,1511.854390,0.205101,0x40504c
1200,4,300,0,4,4,1511.908579,1511.931712,0.023133,0x4050f7
1200,4,300,1,4,4,1511.908630,1511.932581,0.023951,0x4050f7
1200,4,300,2,4,4,1511.908517,1511.932545,0.024028,0x4050f7
1200,4,300,3,4,4,1511.908446,1511.931026,0.022580,0x4050f7
1201,5,300,0,4,4,1511.942022,1511.971277,0.029255,0x405149
1201,5,300,1,4,4,1511.942083,1511.974783,0.032700,0x405149
1201,5,300,2,4,4,1511.941960,1511.973505,0.031545,0x405149
1201,5,300,3,4,4,1511.941877,1511.970663,0.028786,0x405149
1598,2,400,0,4,4,2010.992833,2015.133720,3.773387,0x40500b
1598,2,400,1,4,4,2010.992717,2015.133227,4.088763,0x40500b
1598,2,400,2,4,4,2010.992769,2015.133473,4.038708,0x40500b
1598,2,400,3,4,4,2010.992657,2015.132511,3.583566,0x40500b
