parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,748.722287,756.824626,5.446142,0x40500b,32,100.000000,1,1,8.125819,1.200000,0.800000,cat,1,1,1,1,2703360,1982464,90112,399376384,400818176,1441792,399376384,400818176,1441792,-1,-1,-1
398,2,100,1,4,4,748.702728,756.822800,6.168506,0x40500b,8,100.000000,1,1,8.125819,1.200000,0.800000,cat,15,7fff,1,1,540672,720896,0,28475392,28835840,360448,28475392,28835840,360448,-1,-1,-1
398,2,100,2,4,4,748.707676,756.828547,6.211603,0x40500b,48,100.000000,1,1,8.125819,1.200000,0.800000,cat,15,7fff,1,1,901120,991232,0,17481728,17481728,0,17481728,17481728,0,-1,-1,-1
398,2,100,3,4,4,748.704169,756.824568,5.442325,0x40500b,56,100.000000,1,1,8.125819,1.200000,0.800000,cat,1,1,1,1,360448,180224,0,34422784,34963456,540672,34422784,34963456,540672,-1,-1,-1
399,3,100,0,4,4,756.959176,757.277286,0.318110,0x40504c,32,100.000000,1,1,0.389134,1.200000,0.800000,cat,1,1,1,1,2162688,2072576,-90112,400908288,401448960,540672,400908288,401448960,540672,-1,-1,-1
399,3,100,1,4,4,756.951520,757.316965,0.365445,0x40504c,8,100.000000,1,1,0.389134,1.200000,0.800000,cat,15,7fff,1,1,720896,720896,0,28835840,28835840,0,28835840,28835840,0,-1,-1,-1
399,3,100,2,4,4,756.943098,757.314380,0.371282,0x40504c,48,100.000000,1,1,0.389134,1.200000,0.800000,cat,15,7fff,1,1,991232,901120,-90112,17481728,17481728,0,17481728,17481728,0,-1,-1,-1
399,3,100,3,4,4,756.927831,757.252545,0.324714,0x40504c,56,100.000000,1,1,0.389134,1.200000,0.800000,cat,1,1,1,1,180224,90112,-90112,34963456,34963456,0,34963456,34963456,0,-1,-1,-1
400,4,100,0,4,4,757.424707,757.468018,0.043311,0x4050f7,32,100.000000,1,1,0.073632,1.200000,0.800000,cat,1,1,1,1,2162688,2162688,0,402259968,402259968,0,402259968,402259968,0,-1,-1,-1
400,4,100,1,4,4,757.443314,757.485681,0.042367,0x4050f7,8,100.000000,1,1,0.073632,1.200000,0.800000,cat,15,7fff,1,1,720896,720896,0,28835840,28835840,0,28835840,28835840,0,-1,-1,-1
400,4,100,2,4,4,757.434513,757.479706,0.045193,0x4050f7,48,100.000000,1,1,0.073632,1.200000,0.800000,cat,15,7fff,1,1,991232,1171456,180224,17571840,17571840,0,17571840,17571840,0,-1,-1,-1
400,4,100,3,4,4,757.449085,757.498339,0.049254,0x4050f7,56,100.000000,1,1,0.073632,1.200000,0.800000,cat,1,1,1,1,90112,90112,0,34963456,34963456,0,34963456,34963456,0,-1,-1,-1
401,5,100,0,4,4,757.561446,757.611768,0.050322,0x405149,32,100.000000,1,1,0.090635,1.200000,0.800000,cat,1,1,1,1,2162688,2342912,180224,402350080,402350080,0,402350080,402350080,0,-1,-1,-1
401,5,100,1,4,4,757.580345,757.634438,0.054093,0x405149,8,100.000000,1,1,0.090635,1.200000,0.800000,cat,15,7fff,1,1,720896,811008,90112,28835840,28835840,0,28835840,28835840,0,-1,-1,-1
401,5,100,2,4,4,757.586276,757.652081,0.065805,0x405149,48,100.000000,1,1,0.090635,1.200000,0.800000,cat,15,7fff,1,1,1261568,1351680,90112,17571840,17571840,0,17571840,17571840,0,-1,-1,-1
401,5,100,3,4,4,757.568817,757.629696,0.060879,0x405149,56,100.000000,1,1,0.090635,1.200000,0.800000,cat,1,1,1,1,90112,90112,0,34963456,34963456,0,34963456,34963456,0,-1,-1,-1
798,2,200,0,4,4,1509.771560,1517.533892,5.406122,0x40500b,0,100.000000,1,1,7.802345,1.200000,0.800000,cat,1,1,1,1,3153920,2252800,-90112,792985600,794787840,1802240,792985600,794787840,1802240,-1,-1,-1
798,2,200,1,4,4,1509.753462,1517.536397,5.927853,0x40500b,8,100.000000,1,1,7.802345,1.200000,0.800000,cat,15,7fff,1,1,901120,1081344,180224,44425216,44515328,90112,44425216,44515328,90112,-1,-1,-1
798,2,200,2,4,4,1509.737561,1517.535540,5.925952,0x40500b,48,100.000000,1,1,7.802345,1.200000,0.800000,cat,15,7fff,1,1,720896,811008,180224,46768128,46948352,180224,46768128,46948352,180224,-1,-1,-1
798,2,200,3,4,4,1509.734052,1517.530234,5.465092,0x40500b,56,100.000000,1,1,7.802345,1.200000,0.800000,cat,1,1,1,1,450560,360448,90112,65331200,65601536,270336,65331200,65601536,270336,-1,-1,-1
799,3,200,0,4,4,1517.637652,1517.960630,0.322978,0x40504c,0,100.000000,1,1,0.367081,1.200000,0.800000,cat,1,1,1,1,2433024,2342912,-90112,794968064,795328512,360448,794968064,795328512,360448,-1,-1,-1
799,3,200,1,4,4,1517.656168,1518.002644,0.346476,0x40504c,8,100.000000,1,1,0.367081,1.200000,0.800000,cat,15,7fff,1,1,1081344,991232,-90112,44515328,44515328,0,44515328,44515328,0,-1,-1,-1
799,3,200,2,4,4,1517.658455,1518.004733,0.346278,0x40504c,48,100.000000,1,1,0.367081,1.200000,0.800000,cat,15,7fff,1,1,811008,811008,0,46948352,47038464,90112,46948352,47038464,90112,-1,-1,-1
799,3,200,3,4,4,1517.644467,1517.977137,0.332670,0x40504c,56,100.000000,1,1,0.367081,1.200000,0.800000,cat,1,1,1,1,360448,270336,-90112,65601536,65601536,0,65601536,65601536,0,-1,-1,-1
800,4,200,0,4,4,1518.114883,1518.159959,0.045076,0x4050f7,0,100.000000,1,1,0.064878,1.200000,0.800000,cat,1,1,1,1,2703360,2613248,-90112,796499968,796499968,0,796499968,796499968,0,-1,-1,-1
800,4,200,1,4,4,1518.138166,1518.179215,0.041049,0x4050f7,8,100.000000,1,1,0.064878,1.200000,0.800000,cat,15,7fff,1,1,991232,811008,-180224,44515328,44515328,0,44515328,44515328,0,-1,-1,-1
800,4,200,2,4,4,1518.123702,1518.164738,0.041036,0x4050f7,48,100.000000,1,1,0.064878,1.200000,0.800000,cat,15,7fff,1,1,901120,901120,0,47038464,47038464,0,47038464,47038464,0,-1,-1,-1
800,4,200,3,4,4,1518.132690,1518.179761,0.047071,0x4050f7,56,100.000000,1,1,0.064878,1.200000,0.800000,cat,1,1,1,1,360448,270336,-90112,65601536,65691648,90112,65601536,65691648,90112,-1,-1,-1
801,5,200,0,4,4,1518.249488,1518.302621,0.053133,0x405149,0,100.000000,1,1,0.074578,1.200000,0.800000,cat,1,1,1,1,2793472,2793472,0,796499968,796680192,180224,796499968,796680192,180224,-1,-1,-1
