parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,4,4,5546.775310,5601.813424,42.869504,0x404f28,1,7284312,551223,6733089
398,2,100,1,4,4,5546.406482,5601.962638,54.830795,0x404f28,1,9926267,735308,9190959
398,2,100,2,4,4,5546.520904,5601.930592,54.107709,0x404f28,1,10016053,757994,9258059
398,2,100,3,4,4,5546.646688,5601.795137,41.299670,0x404f28,1,7818613,603730,7214883
399,3,100,0,4,4,5602.046049,5602.301694,0.255645,0x404f80,1,37977,3422,34555
399,3,100,1,4,4,5602.046401,5602.345262,0.298861,0x404f80,1,47903,4989,42914
399,3,100,2,4,4,5602.046244,5602.340855,0.294611,0x404f80,1,47170,4945,42225
399,3,100,3,4,4,5602.046283,5602.278867,0.232584,0x404f80,1,42524,4572,37952
400,4,100,0,4,4,5602.394762,5602.422357,0.027595,0x405030,1,1010,167,843
400,4,100,1,4,4,5602.394745,5602.423285,0.028540,0x405030,1,1134,228,906
400,4,100,2,4,4,5602.394760,5602.424726,0.029966,0x405030,1,1184,189,995
400,4,100,3,4,4,5602.394567,5602.421264,0.026697,0x405030,1,731,101,630
401,5,100,0,4,4,5602.438670,5602.473244,0.034574,0x405097,1,958,261,697
401,5,100,1,4,4,5602.439411,5602.479778,0.040367,0x405097,1,2172,440,1732
401,5,100,2,4,4,5602.439171,5602.479314,0.040143,0x405097,1,2222,399,1823
401,5,100,3,4,4,5602.439141,5602.475143,0.036002,0x405097,1,2241,346,1895
798,2,200,0,4,4,11146.062253,11200.376754,42.748730,0x404f28,1,7206001,523461,6682540
798,2,200,1,4,4,11146.062053,11200.516239,53.844781,0x404f28,1,9797266,700301,9096965
798,2,200,2,4,4,11146.062026,11200.491307,53.004429,0x404f28,1,9877587,710985,9166602
798,2,200,3,4,4,11146.061910,11200.351500,41.122995,0x404f28,1,7752009,561579,7190430
799,3,200,0,4,4,11200.559512,11200.814823,0.255311,0x404f80,1,37574,3216,34358
799,3,200,1,4,4,11200.559714,11200.851083,0.291369,0x404f80,1,46491,4810,41681
799,3,200,2,4,4,11200.559677,11200.859658,0.299981,0x404f80,1,45934,4679,41255
799,3,200,3,4,4,11200.559901,11200.787375,0.227474,0x404f80,1,42638,4345,38293
800,4,200,0,4,4,11200.903564,11200.929624,0.026060,0x405030,1,1044,192,852
800,4,200,1,4,4,11200.903785,11200.930609,0.026824,0x405030,1,942,142,800
800,4,200,2,4,4,11200.903786,11200.930817,0.027031,0x405030,1,986,155,831
800,4,200,3,4,4,11200.903925,11200.929337,0.025412,0x405030,1,661,91,570
801,5,200,0,4,4,11200.941763,11200.974362,0.032599,0x405097,1,1365,449,916
801,5,200,1,4,4,11200.942708,11200.979320,0.036612,0x405097,1,2251,460,1791
801,5,200,2,4,4,11200.942630,11200.977812,0.035182,0x405097,1,2261,371,1890
801,5,200,3,4,4,11200.942496,11200.974641,0.032145,0x405097,1,2240,326,1914
1198,2,300,0,4,4,16614.950018,16669.027725,42.676663,0x404f28,1,7192824,539243,6653581
1198,2,300,1,4,4,16614.950165,16669.166328,53.262677,0x404f28,1,9750239,711828,9038411
1198,2,300,2,4,4,16614.950189,16669.136512,53.034491,0x404f28,1,9835140,725865,9109275
1198,2,300,3,4,4,16614.949431,16669.004650,40.479353,0x404f28,1,7722409,574948,7147461
1199,3,300,0,4,4,16669.208379,16669.464689,0.256310,0x404f80,1,36711,3706,33005
1199,3,300,1,4,4,16669.209102,16669.505589,0.296487,0x404f80,1,44621,5701,38920
1199,3,300,2,4,4,16669.209024,16669.499592,0.290568,0x404f80,1,45342,5663,39679
1199,3,300,3,4,4,16669.209099,16669.441099,0.232000,0x404f80,1,40738,5368,35370
1200,4,300,0,4,4,16669.555218,16669.580631,0.025413,0x405030,1,964,200,764
1200,4,300,1,4,4,16669.555234,16669.582889,0.027655,0x405030,1,955,208,747
1200,4,300,2,4,4,16669.555454,16669.582796,0.027342,0x405030,1,1058,255,803
1200,4,300,3,4,4,16669.555305,16669.581257,0.025952,0x405030,1,692,102,590
1201,5,300,0,4,4,16669.593766,16669.626914,0.033148,0x405097,1,1554,782,772
1201,5,300,1,4,4,16669.594508,16669.632274,0.037766,0x405097,1,2198,697,1501
1201,5,300,2,4,4,16669.594600,16669.630270,0.035670,0x405097,1,2259,605,1654
1201,5,300,3,4,4,16669.594423,16669.626452,0.032029,0x405097,1,2403,648,1755
1598,2,400,0,4,4,22025.276268,22077.902951,41.285575,0x404f28,1,7163506,503288,6660218
1598,2,400,1,4,4,22025.276148,22078.038559,52.305604,0x404f28,1,9695930,663564,9032366
1598,2,400,2,4,4,22025.276120,22078.012585,51.195376,0x404f28,1,9769017,679421,9089596
1598,2,400,3,4,4,22025.276101,22077.883613,39.652225,0x404f28,1,7704269,536322,7167947
1599,3,400,0,4,4,22078.085361,22078.331014,0.245653,0x404f80,1,37341,2992,34349
1599,3,400,1,4,4,22078.086074,22078.376327,0.290253,0x404f80,1,44342,4388,39954
1599,3,400,2,4,4,22078.085834,22078.372318,0.286484,0x404f80,1,43654,4209,39445
1599,3,400,3,4,4,22078.085860,22078.309666,0.223806,0x404f80,1,41202,3991,37211
1600,4,400,0,4,4,22078.422007,22078.448488,0.026481,0x405030,1,1006,168,838
1600,4,400,1,4,4,22078.421752,22078.449060,0.027308,0x405030,1,908,129,779
1600,4,400,2,4,4,22078.421669,22078.448991,0.027322,0x405030,1,989,138,851
1600,4,400,3,4,4,22078.421765,22078.447398,0.025633,0x405030,1,717,84,633
1601,5,400,0,4,4,22078.460101,22078.493464,0.033363,0x405097,1,1556,488,1068
1601,5,400,1,4,4,22078.460461,22078.497731,0.037270,0x405097,1,2268,461,1807
1601,5,400,2,4,4,22078.460574,22078.496614,0.036040,0x405097,1,2271,387,1884
1601,5,400,3,4,4,22078.460110,22078.492556,0.032446,0x405097,1,2454,383,2071
1998,2,500,0,4,4,27354.032840,27404.306825,40.375203,0x404f28,1,7009438,451113,6558325
1998,2,500,1,4,4,27354.032619,27404.437333,49.767004,0x404f28,1,9389134,586201,8802933
1998,2,500,2,4,4,27354.032741,27404.410255,49.293054,0x404f28,1,9468032,600811,8867221
1998,2,500,3,4,4,27354.032538,27404.292605,38.838256,0x404f28,1,7561583,484511,7077072
1999,3,500,0,4,4,27404.475998,27404.714446,0.238448,0x404f80,1,37757,2773,34984
1999,3,500,1,4,4,27404.476135,27404.750858,0.274723,0x404f80,1,43457,3952,39505
1999,3,500,2,4,4,27404.476188,27404.747305,0.271117,0x404f80,1,42989,3893,39096
1999,3,500,3,4,4,27404.476405,27404.693217,0.216812,0x404f80,1,40931,3587,37344
2000,4,500,0,4,4,27404.792865,27404.818916,0.026051,0x405030,1,1052,159,893
2000,4,500,1,4,4,27404.793107,27404.820850,0.027743,0x405030,1,882,115,767
2000,4,500,2,4,4,27404.793000,27404.820922,0.027922,0x405030,1,917,119,798
2000,4,500,3,4,4,27404.793143,27404.819478,0.026335,0x405030,1,680,68,612
2001,5,500,0,4,4,27404.832117,27404.864885,0.032768,0x405097,1,1463,417,1046
2001,5,500,1,4,4,27404.832429,27404.869418,0.036989,0x405097,1,2338,442,1896
2001,5,500,2,4,4,27404.832246,27404.868026,0.035780,0x405097,1,2269,366,1903
2001,5,500,3,4,4,27404.832071,27404.864641,0.032570,0x405097,1,2452,367,2085
2398,2,600,0,4,4,32518.964264,32569.089401,40.048185,0x404f28,1,6958070,431899,6526171
2398,2,600,1,4,4,32518.963842,32569.202645,49.765327,0x404f28,1,9213572,563716,8649856
2398,2,600,2,4,4,32518.964069,32569.177184,48.735559,0x404f28,1,9284351,571496,8712855
2398,2,600,3,4,4,32518.963820,32569.068339,39.377167,0x404f28,1,7525928,465110,7060818
2399,3,600,0,4,4,32569.242672,32569.489279,0.246607,0x404f80,1,37450,2730,34720
2399,3,600,1,4,4,32569.243273,32569.515209,0.271936,0x404f80,1,44131,4074,40057
2399,3,600,2,4,4,32569.243111,32569.513258,0.270147,0x404f80,1,43018,4145,38873
2399,3,600,3,4,4,32569.243221,32569.462015,0.218794,0x404f80,1,41383,3734,37649
2400,4,600,0,4,4,32569.560128,32569.587031,0.026903,0x405030,1,1132,200,932
2400,4,600,1,4,4,32569.560704,32569.588270,0.027566,0x405030,1,938,174,764
2400,4,600,2,4,4,32569.560144,32569.587808,0.027664,0x405030,1,987,155,832
2400,4,600,3,4,4,32569.560202,32569.586543,0.026341,0x405030,1,746,111,635
