parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,5400.592525,5454.987302,21.495496,0x404f28,1,3561946,2508227,1053719,0,100.000000,1,1,54.832888,1.200000,0.800000,cat,1,1,1,1,2973696,2072576,-180224,23785332736,24030076928,243662848,23785332736,24030076928,243662848,-1,-1,-1
398,2,100,1,4,4,5400.465212,5455.174396,52.065504,0x404f28,1,10376908,92484,10284424,8,100.000000,1,1,54.832888,1.200000,0.800000,cat,14,7ffe,1,1,20094976,19824640,360448,1574797312,1591828480,17031168,1574797312,1591828480,17031168,-1,-1,-1
398,2,100,2,4,4,5400.341508,5455.137035,51.561981,0x404f28,1,10372559,98111,10274448,48,100.000000,1,1,54.832888,1.200000,0.800000,cat,14,7ffe,1,1,20725760,19464192,-270336,764059648,771629056,7569408,764059648,771629056,7569408,-1,-1,-1
398,2,100,3,4,4,5400.718772,5454.987111,20.875428,0x404f28,1,3851377,2573048,1278329,56,100.000000,1,1,54.832888,1.200000,0.800000,cat,1,1,1,1,2342912,2162688,2342912,19065806848,19264864256,198696960,19065806848,19264864256,198967296,-1,-1,-1
399,3,100,0,4,4,5455.299485,5455.434823,0.135338,0x404f80,1,7128,4134,2994,0,100.000000,1,1,0.473575,1.200000,0.800000,cat,1,1,1,1,2252800,1982464,-270336,24030437376,24030527488,90112,24030437376,24030527488,90112,-1,-1,-1
399,3,100,1,4,4,5455.590911,5455.773060,0.182149,0x404f80,1,25815,400,25415,8,100.000000,1,1,0.473575,1.200000,0.800000,cat,14,7ffe,1,1,21987328,21716992,-270336,1591828480,1591828480,0,1591828480,1591828480,0,-1,-1,-1
399,3,100,2,4,4,5455.369795,5455.593509,0.223714,0x404f80,1,18820,368,18452,48,100.000000,1,1,0.473575,1.200000,0.800000,cat,14,7ffe,1,1,21716992,21626880,-90112,771629056,771629056,0,771629056,771629056,0,-1,-1,-1
399,3,100,3,4,4,5455.310285,5455.438466,0.128181,0x404f80,1,7478,4604,2874,56,100.000000,1,1,0.473575,1.200000,0.800000,cat,1,1,1,1,2162688,2252800,90112,19264864256,19264954368,90112,19264864256,19264954368,90112,-1,-1,-1
400,4,100,0,4,4,5455.885340,5455.909125,0.023785,0x405030,1,896,587,309,0,100.000000,1,1,0.040984,1.200000,0.800000,cat,1,1,1,1,1892352,1892352,0,24031158272,24031158272,0,24031158272,24031158272,0,-1,-1,-1
400,4,100,1,4,4,5455.890027,5455.919485,0.029458,0x405030,1,811,63,748,8,100.000000,1,1,0.040984,1.200000,0.800000,cat,14,7ffe,1,1,21716992,21716992,0,1591828480,1591828480,0,1591828480,1591828480,0,-1,-1,-1
