parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr
398,2,100,0,4,4,31480.750217,31790.224708,157.483701,0x4055d2
398,2,100,1,4,4,31480.750457,31791.146518,308.930583,0x4055d2
398,2,100,2,4,4,31480.750378,31791.095319,308.409500,0x4055d2
398,2,100,3,4,4,31480.750398,31790.208155,154.557851,0x4055d2
399,3,100,0,4,4,31791.215687,31791.474013,0.258326,0x405623
399,3,100,1,4,4,31791.216204,31791.625043,0.408839,0x405623
399,3,100,2,4,4,31791.216181,31791.626092,0.409911,0x405623
399,3,100,3,4,4,31791.216190,31791.479182,0.262992,0x405623
400,4,100,0,4,4,31791.666593,31791.694700,0.028107,0x4056d3
400,4,100,1,4,4,31791.666780,31791.706015,0.039235,0x4056d3
400,4,100,2,4,4,31791.666716,31791.705928,0.039212,0x4056d3
400,4,100,3,4,4,31791.666646,31791.691340,0.024694,0x4056d3
401,5,100,0,4,4,31791.714623,31791.738951,0.024328,0x40573a
401,5,100,1,4,4,31791.714666,31791.748743,0.034077,0x40573a
401,5,100,2,4,4,31791.714574,31791.747581,0.033007,0x40573a
401,5,100,3,4,4,31791.714503,31791.737251,0.022748,0x40573a
798,2,200,0,4,4,63349.279230,63661.525618,158.932009,0x4055d2
798,2,200,1,4,4,63349.279243,63662.453845,310.965821,0x4055d2
798,2,200,2,4,4,63349.279385,63662.398020,311.567835,0x4055d2
798,2,200,3,4,4,63349.279160,63661.509604,154.859926,0x4055d2
799,3,200,0,4,4,63662.496811,63662.752956,0.256145,0x405623
799,3,200,1,4,4,63662.496959,63662.909079,0.412120,0x405623
799,3,200,2,4,4,63662.497021,63662.910421,0.413400,0x405623
799,3,200,3,4,4,63662.497084,63662.752984,0.255900,0x405623
800,4,200,0,4,4,63662.952030,63662.977695,0.025665,0x4056d3
800,4,200,1,4,4,63662.952223,63662.990719,0.038496,0x4056d3
800,4,200,2,4,4,63662.952094,63662.991279,0.039185,0x4056d3
800,4,200,3,4,4,63662.952159,63662.978383,0.026224,0x4056d3
801,5,200,0,4,4,63662.998729,63663.017926,0.019197,0x40573a
801,5,200,1,4,4,63662.999091,63663.029703,0.030612,0x40573a
801,5,200,2,4,4,63662.999030,63663.029269,0.030239,0x40573a
801,5,200,3,4,4,63662.999153,63663.019769,0.020616,0x40573a
1198,2,300,0,4,4,94660.498570,94970.453216,157.250938,0x4055d2
1198,2,300,1,4,4,94660.498818,94971.390848,308.875571,0x4055d2
