parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,31225.651595,31537.903638,163.300335,0x4055d2,32,100.000000,1,1,312.885906,1.200000,0.800000,cat,1,1,1,1,2523136,1712128,7208960,45410861056,45870792704,456056832,45410861056,45870792704,456146944,-1,-1,-1
398,2,100,1,4,4,31225.645349,31538.527289,309.868438,0x4055d2,40,100.000000,1,1,312.885906,1.200000,0.800000,cat,15,7fff,1,1,30277632,30187520,811008,31729426432,32054370304,324673536,31729426432,32054370304,324673536,-1,-1,-1
398,2,100,2,4,4,31225.646418,31538.456656,308.102383,0x4055d2,48,100.000000,1,1,312.885906,1.200000,0.800000,cat,15,7fff,1,1,29736960,30457856,901120,33680080896,34029715456,349093888,33680080896,34029715456,349093888,-1,-1,-1
398,2,100,3,4,4,31225.641383,31537.881057,159.658821,0x4055d2,24,100.000000,1,1,312.885906,1.200000,0.800000,cat,1,1,1,1,2342912,2252800,5316608,46562041856,47041798144,476782592,46562041856,47041798144,476782592,-1,-1,-1
399,3,100,0,4,4,31538.686993,31539.010336,0.323343,0x405623,32,100.000000,1,1,0.412045,1.200000,0.800000,cat,1,1,1,1,1622016,1441792,-180224,45871333376,45871874048,540672,45871333376,45871874048,540672,-1,-1,-1
399,3,100,1,4,4,31538.666843,31539.051749,0.384906,0x405623,40,100.000000,1,1,0.412045,1.200000,0.800000,cat,15,7fff,1,1,30007296,30187520,180224,32054460416,32054820864,360448,32054460416,32054820864,360448,-1,-1,-1
399,3,100,2,4,4,31538.680479,31539.070114,0.389635,0x405623,48,100.000000,1,1,0.412045,1.200000,0.800000,cat,15,7fff,1,1,30547968,30818304,270336,34029715456,34029895680,180224,34029715456,34029895680,180224,-1,-1,-1
399,3,100,3,4,4,31538.658069,31538.945725,0.287656,0x405623,24,100.000000,1,1,0.412045,1.200000,0.800000,cat,1,1,1,1,2072576,1892352,-180224,47041798144,47042428928,630784,47041798144,47042428928,630784,-1,-1,-1
400,4,100,0,4,4,31539.171965,31539.203288,0.031323,0x4056d3,32,100.000000,1,1,0.064287,1.200000,0.800000,cat,1,1,1,1,1712128,1712128,0,45872865280,45873045504,180224,45872865280,45873045504,180224,-1,-1,-1
400,4,100,1,4,4,31539.191583,31539.231457,0.039874,0x4056d3,40,100.000000,1,1,0.064287,1.200000,0.800000,cat,15,7fff,1,1,30187520,30187520,0,32054910976,32054910976,0,32054910976,32054910976,0,-1,-1,-1
400,4,100,2,4,4,31539.197256,31539.236252,0.038996,0x4056d3,48,100.000000,1,1,0.064287,1.200000,0.800000,cat,15,7fff,1,1,30818304,30818304,0,34030075904,34030075904,0,34030075904,34030075904,0,-1,-1,-1
