parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,30505.007507,30818.005642,160.040561,0x405598,1,6344956,4993466,1351490,32,100.000000,1,1,313.761842,1.200000,0.800000,cat,1,1,1,1,3334144,3153920,811008,45243523072,45706067968,460292096,45243523072,45706067968,460292096,-1,-1,-1
398,2,100,1,4,4,30504.794213,30818.556055,304.530026,0x405598,1,19265359,2402125,16863234,40,100.000000,1,1,313.761842,1.200000,0.800000,cat,14,7ffe,1,1,32800768,32620544,450560,15026536448,15169093632,142196736,15026536448,15169093632,142196736,-1,-1,-1
398,2,100,2,4,4,30505.000671,30818.493051,310.869134,0x405598,1,19288086,2546049,16742037,16,100.000000,1,1,313.761842,1.200000,0.800000,cat,14,7ffe,1,1,31719424,31088640,540672,15297863680,15478808576,180764672,15297863680,15478808576,180764672,-1,-1,-1
398,2,100,3,4,4,30504.898193,30817.966527,158.186922,0x405598,1,7771075,5464464,2306611,56,100.000000,1,1,313.761842,1.200000,0.800000,cat,1,1,1,1,1982464,1982464,90112,49726955520,50237169664,508862464,49726955520,50237169664,509042688,-1,-1,-1
399,3,100,0,4,4,30818.719550,30819.012792,0.293242,0x4055f0,1,11275,7244,4031,32,100.000000,1,1,0.412680,1.200000,0.800000,cat,1,1,1,1,3063808,2523136,-540672,45706698752,45708050432,1351680,45706698752,45708050432,1351680,-1,-1,-1
399,3,100,1,4,4,30818.752188,30819.120876,0.368688,0x4055f0,1,20822,3798,17024,40,100.000000,1,1,0.412680,1.200000,0.800000,cat,14,7ffe,1,1,32710656,32710656,0,15169093632,15169634304,540672,15169093632,15169634304,540672,-1,-1,-1
399,3,100,2,4,4,30818.761461,30819.132230,0.370769,0x4055f0,1,20950,3815,17135,16,100.000000,1,1,0.412680,1.200000,0.800000,cat,14,7ffe,1,1,31358976,31719424,360448,15478808576,15478988800,180224,15478808576,15478988800,180224,-1,-1,-1
399,3,100,3,4,4,30818.735726,30819.030513,0.294787,0x4055f0,1,10923,6833,4090,56,100.000000,1,1,0.412680,1.200000,0.800000,cat,1,1,1,1,2162688,2162688,0,50237169664,50238881792,1712128,50237169664,50238881792,1712128,-1,-1,-1
400,4,100,0,4,4,30819.242184,30819.267858,0.025674,0x4056a0,1,407,307,100,32,100.000000,1,1,0.284575,1.200000,0.800000,cat,1,1,1,1,2793472,2883584,90112,45708771328,45708861440,90112,45708771328,45708861440,90112,-1,-1,-1
400,4,100,1,4,4,30819.314278,30819.351090,0.036812,0x4056a0,1,3477,42,3435,40,100.000000,1,1,0.284575,1.200000,0.800000,cat,14,7ffe,1,1,34873344,34693120,-180224,15169724416,15169724416,0,15169724416,15169724416,0,-1,-1,-1
400,4,100,2,4,4,30819.251324,30819.281475,0.030151,0x4056a0,1,558,225,333,16,100.000000,1,1,0.284575,1.200000,0.800000,cat,14,7ffe,1,1,31629312,31449088,-180224,15479078912,15479078912,0,15479078912,15479078912,0,-1,-1,-1
