parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,30324.636387,30630.219922,158.422257,0x405598,1,6178282,4926134,1252148,32,100.000000,1,1,306.418612,1.200000,0.800000,cat,1,1,1,1,2342912,2793472,540672,40845697024,41260122112,411992064,40845697024,41260122112,411992064,-1,-1,-1
398,2,100,1,4,4,30324.523344,30630.843767,301.960165,0x405598,1,19043557,2708224,16335333,8,100.000000,1,1,306.418612,1.200000,0.800000,cat,7,fe,1,1,29736960,29106176,450560,22038601728,22266765312,227713024,22038601728,22266765312,227803136,-1,-1,-1
398,2,100,2,4,4,30324.425155,30630.770262,302.965339,0x405598,1,19206322,2741183,16465139,16,100.000000,1,1,306.418612,1.200000,0.800000,cat,7,7f00,1,1,30638080,30007296,-360448,17181474816,17375035392,193470464,17181474816,17375035392,193470464,-1,-1,-1
398,2,100,3,4,4,30324.626149,30630.198545,158.613920,0x405598,1,7106478,5188186,1918292,56,100.000000,1,1,306.418612,1.200000,0.800000,cat,1,1,1,1,2433024,1982464,1892352,32583598080,32916742144,331341824,32583598080,32916742144,331431936,-1,-1,-1
399,3,100,0,4,4,30631.001360,30631.277551,0.276191,0x4055f0,1,11043,7763,3280,32,100.000000,1,1,0.450983,1.200000,0.800000,cat,1,1,1,1,3153920,2072576,-1081344,41261563904,41262555136,991232,41261924352,41262555136,630784,-1,-1,-1
399,3,100,1,4,4,30631.014240,30631.370555,0.356315,0x4055f0,1,20318,3971,16347,8,100.000000,1,1,0.450983,1.200000,0.800000,cat,7,fe,1,1,29196288,29646848,450560,22266765312,22267305984,540672,22266765312,22267305984,540672,-1,-1,-1
399,3,100,2,4,4,30631.027196,30631.387269,0.360073,0x4055f0,1,20826,3991,16835,16,100.000000,1,1,0.450983,1.200000,0.800000,cat,7,7f00,1,1,30097408,30097408,0,17375035392,17375395840,360448,17375035392,17375395840,360448,-1,-1,-1
399,3,100,3,4,4,30631.071985,30631.452343,0.380358,0x4055f0,1,10913,6813,4100,56,100.000000,1,1,0.450983,1.200000,0.800000,cat,1,1,1,1,2973696,2523136,-450560,32916922368,32917192704,270336,32916922368,32917192704,270336,-1,-1,-1
400,4,100,0,4,4,30631.558653,30631.583028,0.024375,0x4056a0,1,563,424,139,32,100.000000,1,1,0.241739,1.200000,0.800000,cat,1,1,1,1,2342912,2523136,180224,41263276032,41263276032,0,41263276032,41263276032,0,-1,-1,-1
400,4,100,1,4,4,30631.564883,30631.594458,0.029575,0x4056a0,1,424,124,300,8,100.000000,1,1,0.241739,1.200000,0.800000,cat,7,fe,1,1,29646848,29646848,0,22267305984,22267305984,0,22267305984,22267305984,0,-1,-1,-1
400,4,100,2,4,4,30631.574979,30631.604923,0.029944,0x4056a0,1,484,171,313,16,100.000000,1,1,0.241739,1.200000,0.800000,cat,7,7f00,1,1,30187520,30187520,0,17375395840,17375395840,0,17375395840,17375395840,0,-1,-1,-1
400,4,100,3,4,4,30631.773065,30631.800392,0.027327,0x4056a0,1,2928,580,2348,56,100.000000,1,1,0.241739,1.200000,0.800000,cat,1,1,1,1,2613248,2703360,90112,32917463040,32917463040,0,32917463040,32917463040,0,-1,-1,-1
401,5,100,0,4,4,30631.868760,30631.904604,0.035844,0x405707,1,80,55,25,32,100.000000,1,1,0.066214,1.200000,0.800000,cat,1,1,1,1,2252800,2252800,0,41263546368,41263546368,0,41263546368,41263546368,0,-1,-1,-1
401,5,100,1,4,4,30631.886189,30631.934974,0.048785,0x405707,1,1718,483,1235,8,100.000000,1,1,0.066214,1.200000,0.800000,cat,7,fe,1,1,29646848,29736960,90112,22267305984,22267305984,0,22267305984,22267305984,0,-1,-1,-1
401,5,100,2,4,4,30631.879363,30631.928778,0.049415,0x405707,1,1037,119,918,16,100.000000,1,1,0.066214,1.200000,0.800000,cat,7,7f00,1,1,30187520,30457856,270336,17375395840,17375395840,0,17375395840,17375395840,0,-1,-1,-1
401,5,100,3,4,4,30631.873017,30631.909444,0.036427,0x405707,1,665,191,474,56,100.000000,1,1,0.066214,1.200000,0.800000,cat,1,1,1,1,2703360,2703360,0,32917463040,32917463040,0,32917463040,32917463040,0,-1,-1,-1
798,2,200,0,4,4,61221.873797,61529.023581,161.034243,0x405598,1,6174926,4919506,1255420,32,100.000000,1,1,307.777778,1.200000,0.800000,cat,1,1,1,1,2703360,2433024,-270336,82981888000,83403972608,420282368,82981888000,83403972608,420282368,-1,-1,-1
798,2,200,1,4,4,61221.870639,61529.639199,304.775808,0x405598,1,19041157,2734024,16307133,40,100.000000,1,1,307.777778,1.200000,0.800000,cat,7,fe,1,1,29646848,29016064,0,44987514880,45215408128,227352576,44987514880,45215408128,227352576,-1,-1,-1
798,2,200,2,4,4,61221.881073,61529.568261,302.861961,0x405598,1,19207231,2726150,16481081,48,100.000000,1,1,307.777778,1.200000,0.800000,cat,7,7f00,1,1,30998528,30638080,180224,34769264640,34957418496,188153856,34769264640,34957418496,188153856,-1,-1,-1
798,2,200,3,4,4,61221.861421,61529.009676,165.531930,0x405598,1,7109743,5163142,1946601,56,100.000000,1,1,307.777778,1.200000,0.800000,cat,1,1,1,1,2072576,2342912,3694592,65879711744,66211684352,330440704,65879711744,66211684352,330620928,-1,-1,-1
799,3,200,0,4,4,61529.761588,61530.035504,0.273916,0x4055f0,1,11245,7237,4008,32,100.000000,1,1,0.384855,1.200000,0.800000,cat,1,1,1,1,2613248,2342912,-270336,83404603392,83404963840,360448,83404603392,83404963840,360448,-1,-1,-1
799,3,200,1,4,4,61529.776366,61530.132432,0.356066,0x4055f0,1,20357,4206,16151,40,100.000000,1,1,0.384855,1.200000,0.800000,cat,7,fe,1,1,29106176,29556736,450560,45215408128,45216489472,1081344,45215408128,45216489472,1081344,-1,-1,-1
799,3,200,2,4,4,61529.774276,61530.134826,0.360550,0x4055f0,1,20845,3984,16861,48,100.000000,1,1,0.384855,1.200000,0.800000,cat,7,7f00,1,1,30818304,30908416,90112,34957418496,34957598720,180224,34957418496,34957598720,180224,-1,-1,-1
799,3,200,3,4,4,61529.749971,61530.032677,0.282706,0x4055f0,1,10830,7125,3705,56,100.000000,1,1,0.384855,1.200000,0.800000,cat,1,1,1,1,2252800,2342912,90112,66211684352,66211684352,0,66211684352,66211684352,0,-1,-1,-1
800,4,200,0,4,4,61530.247224,61530.271378,0.024154,0x4056a0,1,709,558,151,32,100.000000,1,1,0.057156,1.200000,0.800000,cat,1,1,1,1,2523136,2433024,-90112,83405414400,83405414400,0,83405414400,83405414400,0,-1,-1,-1
800,4,200,1,4,4,61530.267338,61530.296054,0.028716,0x4056a0,1,467,154,313,40,100.000000,1,1,0.057156,1.200000,0.800000,cat,7,fe,1,1,29646848,29736960,90112,45216489472,45216489472,0,45216489472,45216489472,0,-1,-1,-1
800,4,200,2,4,4,61530.260383,61530.289920,0.029537,0x4056a0,1,418,137,281,48,100.000000,1,1,0.057156,1.200000,0.800000,cat,7,7f00,1,1,30908416,30908416,0,34957598720,34957598720,0,34957598720,34957598720,0,-1,-1,-1
800,4,200,3,4,4,61530.238898,61530.260197,0.021299,0x4056a0,1,468,326,142,56,100.000000,1,1,0.057156,1.200000,0.800000,cat,1,1,1,1,2252800,2162688,-90112,66211864576,66211954688,90112,66211954688,66211954688,0,-1,-1,-1
801,5,200,0,4,4,61530.369646,61530.405660,0.036014,0x405707,1,39,15,24,32,100.000000,1,1,0.062687,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,83405414400,83405414400,0,83405414400,83405414400,0,-1,-1,-1
801,5,200,1,4,4,61530.379297,61530.424889,0.045592,0x405707,1,1681,436,1245,40,100.000000,1,1,0.062687,1.200000,0.800000,cat,7,fe,1,1,29736960,29827072,90112,45216489472,45216489472,0,45216489472,45216489472,0,-1,-1,-1
801,5,200,2,4,4,61530.385690,61530.432333,0.046643,0x405707,1,1231,213,1018,48,100.000000,1,1,0.062687,1.200000,0.800000,cat,7,7f00,1,1,30998528,31088640,90112,34957598720,34957598720,0,34957598720,34957598720,0,-1,-1,-1
801,5,200,3,4,4,61530.391807,61530.426987,0.035180,0x405707,1,209,66,143,56,100.000000,1,1,0.062687,1.200000,0.800000,cat,1,1,1,1,2252800,2252800,0,66211954688,66211954688,0,66211954688,66211954688,0,-1,-1,-1
1198,2,300,0,4,4,91887.488535,92202.390297,163.410616,0x405598,1,6176374,4911925,1264449,32,100.000000,1,1,315.527297,1.200000,0.800000,cat,1,1,1,1,2613248,2162688,90112,125089964032,125511598080,419651584,125089964032,125511598080,419831808,-1,-1,-1
1198,2,300,1,4,4,91887.473655,92202.991749,310.109781,0x405598,1,19043956,2747611,16296345,40,100.000000,1,1,315.527297,1.200000,0.800000,cat,7,fe,1,1,29556736,28925952,-180224,68072136704,68311564288,239157248,68072136704,68311564288,239157248,-1,-1,-1
1198,2,300,2,4,4,91887.470414,92202.928392,311.674231,0x405598,1,19212733,2726257,16486476,48,100.000000,1,1,315.527297,1.200000,0.800000,cat,7,7f00,1,1,31178752,30908416,90112,52384358400,52564041728,179683328,52384358400,52564041728,179683328,-1,-1,-1
1198,2,300,3,4,4,91887.464452,92202.359280,160.156729,0x405598,1,7110102,5180367,1929735,56,100.000000,1,1,315.527297,1.200000,0.800000,cat,1,1,1,1,2433024,2613248,5136384,99181682688,99518521344,335126528,99181682688,99518521344,335306752,-1,-1,-1
1199,3,300,0,4,4,92203.101002,92203.368322,0.267320,0x4055f0,1,11073,7150,3923,32,100.000000,1,1,0.391218,1.200000,0.800000,cat,1,1,1,1,2523136,2072576,-450560,125512138752,125512949760,811008,125512138752,125512949760,811008,-1,-1,-1
1199,3,300,1,4,4,92203.142451,92203.492220,0.349769,0x4055f0,1,20259,4227,16032,40,100.000000,1,1,0.391218,1.200000,0.800000,cat,7,fe,1,1,29016064,29106176,90112,68311564288,68312465408,901120,68311564288,68312465408,901120,-1,-1,-1
1199,3,300,2,4,4,92203.122656,92203.471176,0.348520,0x4055f0,1,20916,4067,16849,48,100.000000,1,1,0.391218,1.200000,0.800000,cat,7,7f00,1,1,31088640,31449088,360448,52564041728,52564221952,180224,52564041728,52564221952,180224,-1,-1,-1
1199,3,300,3,4,4,92203.136115,92203.413849,0.277734,0x4055f0,1,10825,7176,3649,56,100.000000,1,1,0.391218,1.200000,0.800000,cat,1,1,1,1,2613248,2973696,360448,99518521344,99519152128,630784,99518521344,99519152128,630784,-1,-1,-1
1200,4,300,0,4,4,92203.593217,92203.616897,0.023680,0x4056a0,1,918,727,191,32,100.000000,1,1,0.049142,1.200000,0.800000,cat,1,1,1,1,2072576,2162688,90112,125513490432,125513580544,90112,125513490432,125513580544,90112,-1,-1,-1
1200,4,300,1,4,4,92203.613439,92203.639621,0.026182,0x4056a0,1,359,100,259,40,100.000000,1,1,0.049142,1.200000,0.800000,cat,7,fe,1,1,29106176,29106176,0,68312465408,68312465408,0,68312465408,68312465408,0,-1,-1,-1
1200,4,300,2,4,4,92203.615494,92203.642359,0.026865,0x4056a0,1,408,98,310,48,100.000000,1,1,0.049142,1.200000,0.800000,cat,7,7f00,1,1,31449088,31449088,0,52564221952,52564221952,0,52564221952,52564221952,0,-1,-1,-1
1200,4,300,3,4,4,92203.600101,92203.619938,0.019837,0x4056a0,1,353,255,98,56,100.000000,1,1,0.049142,1.200000,0.800000,cat,1,1,1,1,2883584,2883584,0,99519152128,99519152128,0,99519152128,99519152128,0,-1,-1,-1
1201,5,300,0,4,4,92203.701100,92203.734968,0.033868,0x405707,1,49,23,26,32,100.000000,1,1,0.069199,1.200000,0.800000,cat,1,1,1,1,2162688,2162688,0,125513580544,125513580544,0,125513580544,125513580544,0,-1,-1,-1
1201,5,300,1,4,4,92203.727645,92203.770299,0.042654,0x405707,1,1930,568,1362,40,100.000000,1,1,0.069199,1.200000,0.800000,cat,7,fe,1,1,29196288,29376512,180224,68312465408,68312555520,90112,68312465408,68312555520,90112,-1,-1,-1
1201,5,300,2,4,4,92203.721799,92203.764167,0.042368,0x405707,1,1264,202,1062,48,100.000000,1,1,0.069199,1.200000,0.800000,cat,7,7f00,1,1,31449088,31449088,0,52564221952,52564221952,0,52564221952,52564221952,0,-1,-1,-1
1201,5,300,3,4,4,92203.708507,92203.741901,0.033394,0x405707,1,296,120,176,56,100.000000,1,1,0.069199,1.200000,0.800000,cat,1,1,1,1,2883584,2883584,0,99519152128,99519152128,0,99519152128,99519152128,0,-1,-1,-1
1598,2,400,0,4,4,122562.733798,122868.618772,162.057777,0x405598,1,6175326,4912932,1262394,32,100.000000,1,1,306.474426,1.200000,0.800000,cat,1,1,1,1,2883584,2703360,0,167204167680,167619584000,413704192,167204167680,167619584000,413704192,-1,-1,-1
1598,2,400,1,4,4,122562.734595,122869.208152,303.328532,0x405598,1,19043750,2681870,16361880,40,100.000000,1,1,306.474426,1.200000,0.800000,cat,7,fe,1,1,29286400,28745728,-90112,90978426880,91202174976,223297536,90978426880,91202174976,223297536,-1,-1,-1
1598,2,400,2,4,4,122562.742093,122869.135049,301.942537,0x405598,1,19209854,2707740,16502114,48,100.000000,1,1,306.474426,1.200000,0.800000,cat,7,7f00,1,1,31358976,30728192,0,69976113152,70149398528,173285376,69976113152,70149398528,173285376,-1,-1,-1
1598,2,400,3,4,4,122562.733726,122868.583840,158.107173,0x405598,1,7106856,5181349,1925507,56,100.000000,1,1,306.474426,1.200000,0.800000,cat,1,1,1,1,2162688,2342912,3514368,132523933696,132866809856,341434368,132523933696,132866809856,341524480,-1,-1,-1
1599,3,400,0,4,4,122869.318919,122869.582692,0.263773,0x4055f0,1,10958,7140,3818,32,100.000000,1,1,0.384585,1.200000,0.800000,cat,1,1,1,1,2703360,2342912,-360448,167620124672,167620665344,540672,167620124672,167620665344,540672,-1,-1,-1
1599,3,400,1,4,4,122869.327169,122869.671420,0.344251,0x4055f0,1,20345,3901,16444,40,100.000000,1,1,0.384585,1.200000,0.800000,cat,7,fe,1,1,28835840,29286400,450560,91202174976,91202985984,811008,91202174976,91202985984,811008,-1,-1,-1
1599,3,400,2,4,4,122869.352967,122869.703504,0.350537,0x4055f0,1,20879,4069,16810,48,100.000000,1,1,0.384585,1.200000,0.800000,cat,7,7f00,1,1,31088640,31629312,540672,70149398528,70149578752,180224,70149398528,70149578752,180224,-1,-1,-1
1599,3,400,3,4,4,122869.345158,122869.625936,0.280778,0x4055f0,1,10786,7123,3663,56,100.000000,1,1,0.384585,1.200000,0.800000,cat,1,1,1,1,2433024,2523136,90112,132866809856,132866990080,180224,132866809856,132866990080,180224,-1,-1,-1
1600,4,400,0,4,4,122869.832045,122869.854818,0.022773,0x4056a0,1,852,705,147,32,100.000000,1,1,0.053182,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,167621206016,167621206016,0,167621206016,167621206016,0,-1,-1,-1
1600,4,400,1,4,4,122869.808038,122869.834518,0.026480,0x4056a0,1,341,108,233,40,100.000000,1,1,0.053182,1.200000,0.800000,cat,7,fe,1,1,29286400,29376512,90112,91202985984,91202985984,0,91202985984,91202985984,0,-1,-1,-1
1600,4,400,2,4,4,122869.823460,122869.850286,0.026826,0x4056a0,1,454,138,316,48,100.000000,1,1,0.053182,1.200000,0.800000,cat,7,7f00,1,1,31629312,31629312,0,70149578752,70149578752,0,70149578752,70149578752,0,-1,-1,-1
1600,4,400,3,4,4,122869.801636,122869.822124,0.020488,0x4056a0,1,391,286,105,56,100.000000,1,1,0.053182,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,132867080192,132867080192,0,132867080192,132867080192,0,-1,-1,-1
1601,5,400,0,4,4,122869.918118,122869.951521,0.033403,0x405707,1,29,8,21,32,100.000000,1,1,0.058628,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,167621206016,167621206016,0,167621206016,167621206016,0,-1,-1,-1
1601,5,400,1,4,4,122869.933485,122869.976746,0.043261,0x405707,1,1720,475,1245,40,100.000000,1,1,0.058628,1.200000,0.800000,cat,7,fe,1,1,29466624,29736960,270336,91202985984,91202985984,0,91202985984,91202985984,0,-1,-1,-1
1601,5,400,2,4,4,122869.922537,122869.963615,0.041078,0x405707,1,1514,319,1195,48,100.000000,1,1,0.058628,1.200000,0.800000,cat,7,7f00,1,1,31629312,31629312,0,70149578752,70149578752,0,70149578752,70149578752,0,-1,-1,-1
1601,5,400,3,4,4,122869.926524,122869.959610,0.033086,0x405707,1,210,54,156,56,100.000000,1,1,0.058628,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,132867080192,132867080192,0,132867080192,132867080192,0,-1,-1,-1
1998,2,500,0,4,4,153271.045141,153579.290269,159.643137,0x405598,1,6174445,4909975,1264470,32,100.000000,1,1,308.884261,1.200000,0.800000,cat,1,1,1,1,2883584,2613248,270336,209409204224,209829937152,418480128,209409204224,209829937152,418570240,-1,-1,-1
