parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,31441.997674,31758.580143,166.028316,0x4055d2,0,100.000000,1,1,317.231353,1.200000,0.800000,cat,1,1,1,1,2613248,2793472,450560,42176020480,42609549312,433078272,42176020480,42609549312,432988160,-1,-1,-1
398,2,100,1,4,4,31441.984720,31759.215313,314.209590,0x4055d2,8,100.000000,1,1,317.231353,1.200000,0.800000,cat,7,fe,1,1,30728192,30367744,180224,30635106304,30942838784,307732480,30635106304,30942838784,307732480,-1,-1,-1
398,2,100,2,4,4,31441.983960,31759.162886,312.529670,0x4055d2,48,100.000000,1,1,317.231353,1.200000,0.800000,cat,7,7f00,1,1,30097408,29556736,0,20622221312,20834164736,211853312,20622221312,20834164736,211943424,-1,-1,-1
398,2,100,3,4,4,31441.986307,31758.548780,162.616625,0x4055d2,24,100.000000,1,1,317.231353,1.200000,0.800000,cat,1,1,1,1,2433024,2072576,1441792,46681980928,47155429376,473178112,46681980928,47155429376,473178112,-1,-1,-1
399,3,100,0,4,4,31759.337392,31759.638423,0.301031,0x405623,0,100.000000,1,1,0.396718,1.200000,0.800000,cat,1,1,1,1,2793472,2523136,-270336,42609999872,42610450432,450560,42609999872,42610450432,450560,-1,-1,-1
399,3,100,1,4,4,31759.360820,31759.733535,0.372715,0x405623,8,100.000000,1,1,0.396718,1.200000,0.800000,cat,7,fe,1,1,30638080,30998528,360448,30942928896,30943830016,901120,30942928896,30943830016,901120,-1,-1,-1
399,3,100,2,4,4,31759.367835,31759.734110,0.366275,0x405623,48,100.000000,1,1,0.396718,1.200000,0.800000,cat,7,7f00,1,1,29646848,29917184,270336,20834164736,20834615296,450560,20834164736,20834615296,450560,-1,-1,-1
399,3,100,3,4,4,31759.346793,31759.638688,0.291895,0x405623,24,100.000000,1,1,0.396718,1.200000,0.800000,cat,1,1,1,1,2072576,2342912,270336,47155429376,47156150272,720896,47155429376,47156150272,720896,-1,-1,-1
400,4,100,0,4,4,31759.847169,31759.880589,0.033420,0x4056d3,0,100.000000,1,1,0.066797,1.200000,0.800000,cat,1,1,1,1,2433024,2433024,0,42610900992,42610991104,90112,42610900992,42610991104,90112,-1,-1,-1
400,4,100,1,4,4,31759.865714,31759.905404,0.039690,0x4056d3,8,100.000000,1,1,0.066797,1.200000,0.800000,cat,7,fe,1,1,30908416,31088640,180224,30944010240,30944010240,0,30944010240,30944010240,0,-1,-1,-1
