parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr
398,2,100,0,4,4,4243.616381,4285.529025,22.459051,0x4055d2
398,2,100,1,4,4,4243.616573,4285.621795,41.580334,0x4055d2
398,2,100,2,4,4,4243.616465,4285.607235,41.553108,0x4055d2
398,2,100,3,4,4,4243.616281,4285.528555,21.947585,0x4055d2
399,3,100,0,4,4,4285.694451,4285.852719,0.158268,0x405623
399,3,100,1,4,4,4285.694823,4285.938205,0.243382,0x405623
399,3,100,2,4,4,4285.694878,4285.947241,0.252363,0x405623
399,3,100,3,4,4,4285.694746,4285.846172,0.151426,0x405623
400,4,100,0,4,4,4285.972022,4285.998558,0.026536,0x4056d3
400,4,100,1,4,4,4285.972094,4286.010858,0.038764,0x4056d3
400,4,100,2,4,4,4285.972159,4286.010432,0.038273,0x4056d3
400,4,100,3,4,4,4285.971962,4285.999228,0.027266,0x4056d3
401,5,100,0,4,4,4286.019309,4286.040193,0.020884,0x40573a
401,5,100,1,4,4,4286.019389,4286.049447,0.030058,0x40573a
401,5,100,2,4,4,4286.019176,4286.050297,0.031121,0x40573a
401,5,100,3,4,4,4286.019256,4286.039638,0.020382,0x40573a
798,2,200,0,4,4,8543.559675,8585.746951,22.007547,0x4055d2
798,2,200,1,4,4,8543.559953,8585.839696,41.656437,0x4055d2
798,2,200,2,4,4,8543.559866,8585.828687,42.027287,0x4055d2
798,2,200,3,4,4,8543.559611,8585.747266,22.564900,0x4055d2
799,3,200,0,4,4,8585.872304,8586.032276,0.159972,0x405623
799,3,200,1,4,4,8585.872443,8586.116868,0.244425,0x405623
799,3,200,2,4,4,8585.872376,8586.132836,0.260460,0x405623
799,3,200,3,4,4,8585.872239,8586.030105,0.157866,0x405623
800,4,200,0,4,4,8586.157443,8586.190364,0.032921,0x4056d3
800,4,200,1,4,4,8586.157541,8586.196302,0.038761,0x4056d3
800,4,200,2,4,4,8586.157380,8586.196249,0.038869,0x4056d3
800,4,200,3,4,4,8586.157298,8586.183964,0.026666,0x4056d3
801,5,200,0,4,4,8586.203921,8586.224049,0.020128,0x40573a
801,5,200,1,4,4,8586.203933,8586.234262,0.030329,0x40573a
801,5,200,2,4,4,8586.203921,8586.235137,0.031216,0x40573a
801,5,200,3,4,4,8586.203865,8586.224662,0.020797,0x40573a
1198,2,300,0,4,4,12862.113654,12904.552280,22.107081,0x4055d2
1198,2,300,1,4,4,12862.114092,12904.642907,42.037968,0x4055d2
1198,2,300,2,4,4,12862.114030,12904.632688,42.040393,0x4055d2
1198,2,300,3,4,4,12862.113899,12904.550271,22.156926,0x4055d2
1199,3,300,0,4,4,12904.666660,12904.824940,0.158280,0x405623
1199,3,300,1,4,4,12904.667017,12904.913389,0.246372,0x405623
1199,3,300,2,4,4,12904.666951,12904.921260,0.254309,0x405623
1199,3,300,3,4,4,12904.667075,12904.830555,0.163480,0x405623
1200,4,300,0,4,4,12904.944981,12904.972007,0.027026,0x4056d3
1200,4,300,1,4,4,12904.945104,12904.984398,0.039294,0x4056d3
1200,4,300,2,4,4,12904.945046,12904.983295,0.038249,0x4056d3
1200,4,300,3,4,4,12904.944915,12904.979343,0.034428,0x4056d3
1201,5,300,0,4,4,12904.991816,12905.011803,0.019987,0x40573a
1201,5,300,1,4,4,12904.991931,12905.022583,0.030652,0x40573a
1201,5,300,2,4,4,12904.991877,12905.022785,0.030908,0x40573a
1201,5,300,3,4,4,12904.991744,12905.012390,0.020646,0x40573a
1598,2,400,0,4,4,17114.143205,17155.678932,22.507629,0x4055d2
1598,2,400,1,4,4,17114.143277,17155.771108,41.140238,0x4055d2
1598,2,400,2,4,4,17114.143350,17155.762343,41.247057,0x4055d2
1598,2,400,3,4,4,17114.143141,17155.678597,22.077154,0x4055d2
1599,3,400,0,4,4,17155.799843,17155.968042,0.168199,0x405623
1599,3,400,1,4,4,17155.799926,17156.049549,0.249623,0x405623
1599,3,400,2,4,4,17155.799775,17156.057996,0.258221,0x405623
1599,3,400,3,4,4,17155.799729,17155.952588,0.152859,0x405623
1600,4,400,0,4,4,17156.082442,17156.109542,0.027100,0x4056d3
1600,4,400,1,4,4,17156.082590,17156.121606,0.039016,0x4056d3
1600,4,400,2,4,4,17156.082530,17156.120960,0.038430,0x4056d3
1600,4,400,3,4,4,17156.082380,17156.107762,0.025382,0x4056d3
