parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,62513.542908,63144.808258,325.451491,0x405598,32,100.000000,1,1,633.224615,1.200000,0.800000,cat,1,1,1,1,2433024,2342912,630784,97468293120,98463129600,992133120,97468293120,98463129600,992133120,-1,-1,-1
398,2,100,1,4,4,62513.534378,63146.758993,625.637708,0x405598,40,100.000000,1,1,633.224615,1.200000,0.800000,cat,14,7ffe,1,1,40370176,40280064,1081344,166311067648,168033288192,1720958976,166311067648,168033288192,1720868864,-1,-1,-1
398,2,100,2,4,4,62513.539384,63146.700883,628.782605,0x405598,48,100.000000,1,1,633.224615,1.200000,0.800000,cat,14,7ffe,1,1,38117376,37486592,1982464,158888361984,160581926912,1691942912,158888361984,160582017024,1691762688,-1,-1,-1
398,2,100,3,4,4,62513.538289,63144.774859,316.398942,0x405598,56,100.000000,1,1,633.224615,1.200000,0.800000,cat,1,1,1,1,2883584,2703360,5496832,104834138112,105911607296,1073684480,104834138112,105911607296,1073684480,-1,-1,-1
399,3,100,0,4,4,63146.989830,63147.427181,0.437351,0x4055f0,32,100.000000,1,1,0.576359,1.200000,0.800000,cat,1,1,1,1,3514368,3063808,-450560,98464210944,98465112064,901120,98464210944,98465112064,901120,-1,-1,-1
399,3,100,1,4,4,63146.919796,63147.418113,0.498317,0x4055f0,40,100.000000,1,1,0.576359,1.200000,0.800000,cat,14,7ffe,1,1,40280064,40550400,270336,168033288192,168034729984,1441792,168033288192,168034820096,1531904,-1,-1,-1
399,3,100,2,4,4,63146.987601,63147.484449,0.496848,0x4055f0,48,100.000000,1,1,0.576359,1.200000,0.800000,cat,14,7ffe,1,1,37576704,38027264,450560,160582017024,160582918144,901120,160582017024,160582918144,901120,-1,-1,-1
399,3,100,3,4,4,63146.908090,63147.273553,0.365463,0x4055f0,56,100.000000,1,1,0.576359,1.200000,0.800000,cat,1,1,1,1,2703360,2162688,-540672,105911607296,105912598528,991232,105911607296,105912598528,991232,-1,-1,-1
400,4,100,0,4,4,63147.599398,63147.620900,0.021502,0x4056a0,32,100.000000,1,1,0.054429,1.200000,0.800000,cat,1,1,1,1,2973696,2973696,0,98465652736,98465742848,90112,98465652736,98465742848,90112,-1,-1,-1
400,4,100,1,4,4,63147.626613,63147.653827,0.027214,0x4056a0,40,100.000000,1,1,0.054429,1.200000,0.800000,cat,14,7ffe,1,1,40550400,40550400,0,168034910208,168035000320,90112,168034910208,168035090432,180224,-1,-1,-1
400,4,100,2,4,4,63147.606244,63147.633500,0.027256,0x4056a0,48,100.000000,1,1,0.054429,1.200000,0.800000,cat,14,7ffe,1,1,38027264,38117376,90112,160583008256,160583008256,0,160583008256,160583008256,0,-1,-1,-1
400,4,100,3,4,4,63147.619658,63147.639219,0.019561,0x4056a0,56,100.000000,1,1,0.054429,1.200000,0.800000,cat,1,1,1,1,2162688,2252800,90112,105912598528,105912598528,0,105912598528,105912598528,0,-1,-1,-1
401,5,100,0,4,4,63147.717467,63147.750933,0.033466,0x405707,32,100.000000,1,1,0.071413,1.200000,0.800000,cat,1,1,1,1,2883584,2883584,0,98465742848,98465742848,0,98465742848,98465742848,0,-1,-1,-1
401,5,100,1,4,4,63147.744188,63147.788880,0.044692,0x405707,40,100.000000,1,1,0.071413,1.200000,0.800000,cat,14,7ffe,1,1,40460288,40550400,90112,168035090432,168035180544,90112,168035090432,168035180544,90112,-1,-1,-1
