parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
398,2,100,0,4,4,61666.532194,62309.198853,330.662321,0x405598,1,12009085,9964287,2044798,0,100.000000,1,1,644.536074,1.200000,0.800000,cat,1,1,1,1,1802240,1441792,12075008,82740297728,83595010048,849936384,82740297728,83595010048,849575936,-1,-1,-1
398,2,100,1,4,4,61666.529469,62311.065543,620.243057,0x405598,1,36277649,14895782,21381867,8,100.000000,1,1,644.536074,1.200000,0.800000,cat,15,7fff,1,1,39108608,38207488,3514368,153789734912,155391475712,1598406656,153789734912,155391475712,1598226432,-1,-1,-1
398,2,100,2,4,4,61666.536164,62310.959900,640.907177,0x405598,1,36183005,14858107,21324898,16,100.000000,1,1,644.536074,1.200000,0.800000,cat,15,7fff,1,1,40370176,40910848,1531904,132729659392,134101254144,1371054080,132729659392,134101254144,1371054080,-1,-1,-1
398,2,100,3,4,4,61666.668960,62309.156917,316.400800,0x405598,1,12712424,10987055,1725369,56,100.000000,1,1,644.536074,1.200000,0.800000,cat,1,1,1,1,720896,1171456,12976128,99855540224,100876419072,1018085376,99855630336,100876419072,1018085376,-1,-1,-1
399,3,100,0,4,4,62311.220955,62311.609329,0.388374,0x4055f0,1,13042,11060,1982,32,100.000000,1,1,0.602459,1.200000,0.800000,cat,1,1,1,1,1171456,1261568,90112,83596181504,83597262848,1081344,83596181504,83597262848,1081344,-1,-1,-1
399,3,100,1,4,4,62311.305306,62311.823414,0.518108,0x4055f0,1,22195,9403,12792,8,100.000000,1,1,0.602459,1.200000,0.800000,cat,15,7fff,1,1,37756928,37216256,-540672,155391926272,155392827392,901120,155391926272,155392827392,901120,-1,-1,-1
399,3,100,2,4,4,62311.300545,62311.808429,0.507884,0x4055f0,1,22108,9328,12780,16,100.000000,1,1,0.602459,1.200000,0.800000,cat,15,7fff,1,1,42532864,42172416,-360448,134101524480,134102425600,901120,134101524480,134102425600,901120,-1,-1,-1
399,3,100,3,4,4,62311.233181,62311.596493,0.363312,0x4055f0,1,11356,10047,1309,56,100.000000,1,1,0.602459,1.200000,0.800000,cat,1,1,1,1,1081344,991232,-90112,100876689408,100877500416,811008,100876689408,100877500416,811008,-1,-1,-1
400,4,100,0,4,4,62311.931741,62311.956120,0.024379,0x4056a0,1,741,617,124,32,100.000000,1,1,0.082134,1.200000,0.800000,cat,1,1,1,1,1441792,1441792,0,83598073856,83598163968,90112,83598073856,83598163968,90112,-1,-1,-1
400,4,100,1,4,4,62311.951189,62311.980587,0.029398,0x4056a0,1,450,322,128,8,100.000000,1,1,0.082134,1.200000,0.800000,cat,15,7fff,1,1,37036032,37036032,0,155392917504,155393097728,180224,155392917504,155393097728,180224,-1,-1,-1
400,4,100,2,4,4,62311.980876,62312.013875,0.032999,0x4056a0,1,4166,595,3571,16,100.000000,1,1,0.082134,1.200000,0.800000,cat,15,7fff,1,1,42262528,42172416,-90112,134102786048,134102786048,0,134102786048,134102786048,0,-1,-1,-1
400,4,100,3,4,4,62311.939522,62311.961499,0.021977,0x4056a0,1,340,276,64,56,100.000000,1,1,0.082134,1.200000,0.800000,cat,1,1,1,1,991232,991232,0,100877500416,100877500416,0,100877500416,100877500416,0,-1,-1,-1
401,5,100,0,4,4,62312.073629,62312.109520,0.035891,0x405707,1,56,33,23,32,100.000000,1,1,0.282438,1.200000,0.800000,cat,1,1,1,1,1441792,1531904,90112,83598163968,83598254080,90112,83598163968,83598254080,90112,-1,-1,-1
401,5,100,1,4,4,62312.092576,62312.140371,0.047795,0x405707,1,1963,882,1081,8,100.000000,1,1,0.282438,1.200000,0.800000,cat,15,7fff,1,1,36945920,37126144,180224,155393187840,155393458176,270336,155393277952,155393458176,180224,-1,-1,-1
401,5,100,2,4,4,62312.303349,62312.356067,0.052718,0x405707,1,4647,337,4310,16,100.000000,1,1,0.282438,1.200000,0.800000,cat,15,7fff,1,1,42262528,42352640,90112,134102876160,134102876160,0,134102876160,134102876160,0,-1,-1,-1
