parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,16,16,19133.191134,19306.147027,59.871337,0x4051ce,1,6179290,4216004,1963286
398,2,100,1,16,16,19133.476719,19306.126688,60.244276,0x4051ce,1,7373948,4509290,2864658
398,2,100,2,16,16,19133.602499,19306.126978,60.216616,0x4051ce,1,7654714,4448798,3205916
398,2,100,3,16,16,19132.788208,19306.142085,61.896597,0x4051ce,1,7936932,4694920,3242012
398,2,100,4,16,16,19134.313036,19308.231278,164.067635,0x4051ce,1,21705288,15552171,6153117
398,2,100,5,16,16,19133.006237,19308.241387,164.846686,0x4051ce,1,22014410,15606676,6407734
398,2,100,6,16,16,19133.720399,19308.136331,162.887879,0x4051ce,1,20289224,16345212,3944012
398,2,100,7,16,16,19133.913196,19308.261126,173.860468,0x4051ce,1,21257140,17204419,4052721
398,2,100,8,16,16,19133.118428,19308.222797,171.275876,0x4051ce,1,21166096,16953199,4212897
398,2,100,9,16,16,19133.253381,19308.161099,165.106165,0x4051ce,1,19783808,16526097,3257711
398,2,100,10,16,16,19134.172435,19308.240603,171.960758,0x4051ce,1,21132293,17107464,4024829
398,2,100,11,16,16,19134.038598,19308.221974,171.268849,0x4051ce,1,21040774,16882755,4158019
398,2,100,12,16,16,19132.673959,19306.165754,66.794746,0x4051ce,1,7879123,5822570,2056553
398,2,100,13,16,16,19132.554514,19306.216201,68.561759,0x4051ce,1,7873202,6290275,1582927
398,2,100,14,16,16,19134.455349,19306.188451,66.566146,0x4051ce,1,7939163,5341026,2598137
398,2,100,15,16,16,19133.367175,19306.159213,62.554103,0x4051ce,1,7795201,4774236,3020965
399,3,100,0,16,16,19308.379051,19308.493387,0.114336,0x405218,1,5714,3954,1760
399,3,100,1,16,16,19308.380274,19308.502055,0.121781,0x405218,1,6333,3990,2343
399,3,100,2,16,16,19308.379750,19308.505426,0.125676,0x405218,1,6566,3974,2592
399,3,100,3,16,16,19308.380125,19308.523126,0.143001,0x405218,1,6889,4648,2241
399,3,100,4,16,16,19308.380359,19308.650873,0.270514,0x405218,1,12544,7535,5009
399,3,100,5,16,16,19308.380351,19308.659570,0.279219,0x405218,1,12765,8122,4643
399,3,100,6,16,16,19308.379991,19308.651476,0.271485,0x405218,1,12115,8483,3632
399,3,100,7,16,16,19308.379685,19308.676007,0.296322,0x405218,1,12226,8801,3425
399,3,100,8,16,16,19308.380182,19308.659747,0.279565,0x405218,1,12216,8763,3453
399,3,100,9,16,16,19308.379890,19308.651554,0.271664,0x405218,1,11886,8883,3003
399,3,100,10,16,16,19308.379901,19308.658478,0.278577,0x405218,1,12251,8801,3450
399,3,100,11,16,16,19308.379814,19308.654820,0.275006,0x405218,1,12030,8725,3305
399,3,100,12,16,16,19308.378977,19308.535349,0.156372,0x405218,1,6098,4780,1318
399,3,100,13,16,16,19308.379190,19308.534523,0.155333,0x405218,1,5892,4681,1211
399,3,100,14,16,16,19308.379347,19308.518668,0.139321,0x405218,1,5433,3851,1582
399,3,100,15,16,16,19308.379159,19308.516673,0.137514,0x405218,1,5847,4200,1647
400,4,100,0,16,16,19308.855113,19308.884341,0.029228,0x4052e4,1,1985,1325,660
400,4,100,1,16,16,19308.854086,19308.875331,0.021245,0x4052e4,1,313,250,63
400,4,100,2,16,16,19308.854245,19308.876465,0.022220,0x4052e4,1,358,270,88
400,4,100,3,16,16,19308.853979,19308.875021,0.021042,0x4052e4,1,223,181,42
400,4,100,4,16,16,19308.853839,19308.877009,0.023170,0x4052e4,1,326,260,66
400,4,100,5,16,16,19308.854428,19308.878218,0.023790,0x4052e4,1,351,264,87
400,4,100,6,16,16,19308.854285,19308.878141,0.023856,0x4052e4,1,335,257,78
400,4,100,7,16,16,19308.854099,19308.877482,0.023383,0x4052e4,1,372,280,92
400,4,100,8,16,16,19308.853722,19308.877249,0.023527,0x4052e4,1,362,271,91
400,4,100,9,16,16,19308.854492,19308.877984,0.023492,0x4052e4,1,332,277,55
400,4,100,10,16,16,19308.854447,19308.879733,0.025286,0x4052e4,1,344,238,106
400,4,100,11,16,16,19308.853917,19308.877541,0.023624,0x4052e4,1,362,277,85
400,4,100,12,16,16,19308.853454,19308.873904,0.020450,0x4052e4,1,141,95,46
400,4,100,13,16,16,19308.853826,19308.875759,0.021933,0x4052e4,1,165,124,41
400,4,100,14,16,16,19308.853688,19308.873850,0.020162,0x4052e4,1,128,88,40
