parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
1,1,1,0,16,16,2454.363253,2458.798782,4.435529,0x404957,1,75164,73800,1364,32,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,16,16,2454.419322,2458.848010,4.428688,0x404957,1,75257,74130,1127,34,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,2,16,16,2454.471675,2459.195732,4.724057,0x404957,1,75335,74152,1183,36,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,3,16,16,2454.419307,2459.913047,5.493740,0x404957,1,75166,74095,1071,38,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,4,16,16,2454.429388,2459.034050,4.604662,0x404957,1,75202,73937,1265,40,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,5,16,16,2454.426361,2459.021076,4.594715,0x404957,1,75184,74060,1124,10,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,6,16,16,2454.475225,2459.201064,4.725839,0x404957,1,75300,74180,1120,44,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,7,16,16,2454.569988,2459.624890,5.054902,0x404957,1,75243,73992,1251,46,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,8,16,16,2454.618221,2462.243230,7.625009,0x404957,1,75351,74041,1310,16,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,9,16,16,2454.596038,2459.694808,5.098770,0x404957,1,75123,74041,1082,50,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,10,16,16,2454.428732,2459.945799,5.517067,0x404957,1,75277,74072,1205,52,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,11,16,16,2454.585403,2462.005437,7.420034,0x404957,1,75218,73967,1251,54,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,12,16,16,2454.653807,2462.019315,7.365508,0x404957,1,75148,73988,1160,56,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,13,16,16,2454.833305,2459.701878,4.868573,0x404957,1,75279,74109,1170,58,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,14,16,16,2454.920125,2459.325990,4.405865,0x404957,1,75193,74062,1131,60,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,15,16,16,2454.844016,2459.216074,4.372058,0x404957,1,75351,73949,1402,62,100.000000,0,0,7.879977,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,0,16,16,2475.177639,2539.180296,49.603611,0x4051ce,1,6127633,2922145,3205488,32,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,1,16,16,2475.169526,2539.198721,50.412873,0x4051ce,1,7571716,3240907,4330809,34,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,2,16,16,2475.169445,2539.227234,50.096789,0x4051ce,1,7902849,3095651,4807198,36,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,3,16,16,2475.169051,2539.184676,49.570665,0x4051ce,1,8123984,3047272,5076712,38,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,4,16,16,2475.168976,2539.237786,54.068602,0x4051ce,1,8040429,3671754,4368675,40,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,5,16,16,2475.169891,2539.217942,55.724068,0x4051ce,1,8106418,4138124,3968294,10,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,6,16,16,2475.168811,2539.252525,63.697899,0x4051ce,1,7874170,6492674,1381496,44,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,7,16,16,2475.168843,2539.266574,63.505117,0x4051ce,1,7880610,6351910,1528700,46,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,8,16,16,2475.168040,2539.255914,62.511269,0x4051ce,1,7861045,6373821,1487224,16,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,9,16,16,2475.170101,2539.240574,62.831651,0x4051ce,1,7844078,6357518,1486560,50,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,10,16,16,2475.167787,2539.243771,62.379741,0x4051ce,1,7859894,6328254,1531640,52,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,11,16,16,2475.167573,2539.266635,63.191766,0x4051ce,1,7850373,6428376,1421997,54,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,12,16,16,2475.167880,2539.243125,62.090691,0x4051ce,1,7806434,6404266,1402168,56,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,13,16,16,2475.168762,2539.261355,62.804018,0x4051ce,1,7843795,6418430,1425365,58,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,14,16,16,2475.168653,2539.276539,62.902666,0x4051ce,1,7858448,6257447,1601001,60,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,2,1,15,16,16,2475.170027,2539.223391,57.798770,0x4051ce,1,7849380,4780667,3068713,62,100.000000,0,0,64.108966,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,0,16,16,2539.369819,2539.463210,0.093391,0x405218,1,5787,2081,3706,32,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,1,16,16,2539.369044,2539.463760,0.094716,0x405218,1,6406,2183,4223,34,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,2,16,16,2539.368834,2539.457645,0.088811,0x405218,1,6030,1919,4111,36,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,3,16,16,2539.370197,2539.466708,0.096511,0x405218,1,6595,1914,4681,38,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,4,16,16,2539.371282,2539.503293,0.132011,0x405218,1,5776,2312,3464,40,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,5,16,16,2539.370215,2539.497192,0.126977,0x405218,1,5307,2869,2438,10,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,6,16,16,2539.369607,2539.509811,0.140204,0x405218,1,5880,4400,1480,44,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,7,16,16,2539.369032,2539.512323,0.143291,0x405218,1,5902,4277,1625,46,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,8,16,16,2539.369229,2539.511303,0.142074,0x405218,1,5684,4211,1473,16,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,9,16,16,2539.369162,2539.512691,0.143529,0x405218,1,5680,4137,1543,50,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,10,16,16,2539.369415,2539.516122,0.146707,0x405218,1,5689,4277,1412,52,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,11,16,16,2539.369709,2539.514957,0.145248,0x405218,1,5430,4221,1209,54,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,12,16,16,2539.369105,2539.514863,0.145758,0x405218,1,5215,4079,1136,56,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,13,16,16,2539.370282,2539.507758,0.137476,0x405218,1,5516,3933,1583,58,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,14,16,16,2539.369954,2539.511319,0.141365,0x405218,1,5256,3942,1314,60,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,15,16,16,2539.369147,2539.473989,0.104842,0x405218,1,5598,2351,3247,62,100.000000,0,0,0.147288,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,0,16,16,2539.714240,2539.743051,0.028811,0x4052e4,1,1722,659,1063,32,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,1,16,16,2539.712287,2539.735246,0.022959,0x4052e4,1,263,182,81,34,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,2,16,16,2539.711439,2539.734075,0.022636,0x4052e4,1,221,148,73,36,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,3,16,16,2539.711835,2539.734205,0.022370,0x4052e4,1,285,196,89,38,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,4,16,16,2539.713155,2539.736675,0.023520,0x4052e4,1,241,138,103,40,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,5,16,16,2539.712990,2539.735770,0.022780,0x4052e4,1,181,112,69,10,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,6,16,16,2539.713192,2539.736818,0.023626,0x4052e4,1,186,132,54,44,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,7,16,16,2539.712255,2539.734934,0.022679,0x4052e4,1,220,168,52,46,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,8,16,16,2539.712425,2539.735041,0.022616,0x4052e4,1,169,115,54,16,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,9,16,16,2539.711914,2539.734714,0.022800,0x4052e4,1,151,96,55,50,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,10,16,16,2539.713184,2539.736550,0.023366,0x4052e4,1,162,112,50,52,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,1,11,16,16,2539.712780,2539.735449,0.022669,0x4052e4,1,150,97,53,54,100.000000,0,0,0.031645,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
