parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,16,16,18643.847567,18815.697917,60.963605,0x4051ce,1,6894144,4023075,2871069
398,2,100,1,16,16,18643.769787,18815.724670,62.347984,0x4051ce,1,7752642,4402327,3350315
398,2,100,2,16,16,18643.378197,18815.752176,66.107088,0x4051ce,1,7726512,5191709,2534803
398,2,100,3,16,16,18643.497588,18815.772336,68.663104,0x4051ce,1,7813398,5689596,2123802
398,2,100,4,16,16,18644.704305,18817.762989,168.071962,0x4051ce,1,21339269,15461520,5877749
398,2,100,5,16,16,18645.096916,18817.781663,171.861379,0x4051ce,1,20922575,15463360,5459215
398,2,100,6,16,16,18644.955648,18817.640107,163.016187,0x4051ce,1,19554195,15056151,4498044
398,2,100,7,16,16,18644.086246,18817.766993,171.428480,0x4051ce,1,20919851,15873580,5046271
398,2,100,8,16,16,18644.440504,18817.737267,171.372847,0x4051ce,1,20832715,16171368,4661347
398,2,100,9,16,16,18643.943898,18817.665412,165.084445,0x4051ce,1,19555873,15668690,3887183
398,2,100,10,16,16,18644.830311,18817.766617,171.727073,0x4051ce,1,20825617,16202176,4623441
398,2,100,11,16,16,18643.260088,18817.737547,170.914860,0x4051ce,1,20753819,15953596,4800223
398,2,100,12,16,16,18643.644615,18815.759287,69.179069,0x4051ce,1,7745342,6202922,1542420
398,2,100,13,16,16,18644.562398,18815.783148,71.163988,0x4051ce,1,7721716,6511856,1209860
398,2,100,14,16,16,18644.326918,18815.810930,72.283510,0x4051ce,1,7722839,6542385,1180454
398,2,100,15,16,16,18644.195366,18815.765650,68.758761,0x4051ce,1,7621816,5975826,1645990
399,3,100,0,16,16,18817.893598,18818.018353,0.124755,0x405218,1,6359,4033,2326
399,3,100,1,16,16,18817.893760,18818.027299,0.133539,0x405218,1,6729,4197,2532
399,3,100,2,16,16,18817.894368,18818.043910,0.149542,0x405218,1,6280,4621,1659
399,3,100,3,16,16,18817.894314,18818.045047,0.150733,0x405218,1,6047,4726,1321
