parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,16,16,18845.042044,19020.790285,58.969500,0x4051ce,1,6931401,3794349,3137052
398,2,100,1,16,16,18844.979755,19020.772887,63.474039,0x4051ce,1,8005614,4627940,3377674
398,2,100,2,16,16,18846.392629,19020.840829,65.953706,0x4051ce,1,7995849,5203227,2792622
398,2,100,3,16,16,18846.860693,19020.867838,69.388431,0x4051ce,1,7884042,5872552,2011490
398,2,100,4,16,16,18844.847678,19022.915161,174.809781,0x4051ce,1,20873989,16044623,4829366
398,2,100,5,16,16,18845.227011,19022.897069,173.003252,0x4051ce,1,20994066,15757841,5236225
398,2,100,6,16,16,18846.543255,19022.792306,166.014990,0x4051ce,1,19733816,15364568,4369248
398,2,100,7,16,16,18846.110923,19022.906060,175.249072,0x4051ce,1,21164218,16327792,4836426
398,2,100,8,16,16,18845.700246,19022.870130,171.743370,0x4051ce,1,21167612,15960573,5207039
398,2,100,9,16,16,18845.345917,19022.807674,166.027130,0x4051ce,1,19585439,15753214,3832225
398,2,100,10,16,16,18846.701387,19022.873665,172.409546,0x4051ce,1,20865321,16439574,4425747
398,2,100,11,16,16,18846.237258,19022.875775,172.465347,0x4051ce,1,20792201,16245810,4546391
398,2,100,12,16,16,18845.826306,19020.880534,69.340770,0x4051ce,1,7836014,6145220,1690794
398,2,100,13,16,16,18845.112057,19020.935419,72.298212,0x4051ce,1,7848218,6678578,1169640
398,2,100,14,16,16,18845.568929,19020.929411,72.266075,0x4051ce,1,7838135,6631505,1206630
398,2,100,15,16,16,18845.941080,19020.921598,70.700633,0x4051ce,1,7634612,6450317,1184295
399,3,100,0,16,16,19023.031568,19023.142668,0.111100,0x405218,1,6046,3366,2680
399,3,100,1,16,16,19023.031885,19023.144595,0.112710,0x405218,1,5481,3033,2448
399,3,100,2,16,16,19023.032120,19023.174755,0.142635,0x405218,1,6334,4291,2043
399,3,100,3,16,16,19023.031425,19023.178957,0.147532,0x405218,1,5938,4920,1018
399,3,100,4,16,16,19023.031684,19023.313755,0.282071,0x405218,1,12019,8567,3452
399,3,100,5,16,16,19023.032231,19023.309283,0.277052,0x405218,1,12355,8134,4221
399,3,100,6,16,16,19023.031954,19023.299271,0.267317,0x405218,1,11893,8189,3704
399,3,100,7,16,16,19023.031641,19023.315255,0.283614,0x405218,1,12118,8484,3634
399,3,100,8,16,16,19023.031787,19023.301870,0.270083,0x405218,1,12219,8142,4077
399,3,100,9,16,16,19023.032943,19023.297660,0.264717,0x405218,1,11900,8563,3337
399,3,100,10,16,16,19023.032002,19023.291996,0.259994,0x405218,1,12258,8462,3796
399,3,100,11,16,16,19023.032543,19023.301347,0.268804,0x405218,1,12055,8363,3692
399,3,100,12,16,16,19023.031735,19023.177641,0.145906,0x405218,1,5943,4588,1355
399,3,100,13,16,16,19023.031427,19023.180319,0.148892,0x405218,1,5972,4934,1038
399,3,100,14,16,16,19023.031562,19023.177552,0.145990,0x405218,1,5870,4823,1047
399,3,100,15,16,16,19023.031110,19023.178816,0.147706,0x405218,1,5132,4521,611
400,4,100,0,16,16,19023.490348,19023.518879,0.028531,0x4052e4,1,1899,1341,558
400,4,100,1,16,16,19023.488969,19023.510874,0.021905,0x4052e4,1,163,116,47
400,4,100,2,16,16,19023.488316,19023.509341,0.021025,0x4052e4,1,251,188,63
400,4,100,3,16,16,19023.488283,19023.509150,0.020867,0x4052e4,1,193,133,60
400,4,100,4,16,16,19023.488831,19023.512375,0.023544,0x4052e4,1,311,236,75
400,4,100,5,16,16,19023.489075,19023.512763,0.023688,0x4052e4,1,374,284,90
400,4,100,6,16,16,19023.489148,19023.513286,0.024138,0x4052e4,1,388,314,74
400,4,100,7,16,16,19023.488893,19023.512579,0.023686,0x4052e4,1,420,334,86
400,4,100,8,16,16,19023.488393,19023.512988,0.024595,0x4052e4,1,377,274,103
400,4,100,9,16,16,19023.488858,19023.512741,0.023883,0x4052e4,1,328,270,58
400,4,100,10,16,16,19023.488402,19023.511637,0.023235,0x4052e4,1,340,274,66
400,4,100,11,16,16,19023.488733,19023.511949,0.023216,0x4052e4,1,382,303,79
400,4,100,12,16,16,19023.488015,19023.508135,0.020120,0x4052e4,1,119,75,44
400,4,100,13,16,16,19023.488802,19023.509125,0.020323,0x4052e4,1,156,98,58
400,4,100,14,16,16,19023.488213,19023.508885,0.020672,0x4052e4,1,163,100,63
400,4,100,15,16,16,19023.488136,19023.508506,0.020370,0x4052e4,1,160,108,52
401,5,100,0,16,16,19023.554147,19023.575366,0.021219,0x40533c,1,26,6,20
401,5,100,1,16,16,19023.554000,19023.575260,0.021260,0x40533c,1,117,68,49
401,5,100,2,16,16,19023.553951,19023.575501,0.021550,0x40533c,1,116,80,36
401,5,100,3,16,16,19023.553887,19023.574158,0.020271,0x40533c,1,95,64,31
401,5,100,4,16,16,19023.554171,19023.581056,0.026885,0x40533c,1,712,515,197
401,5,100,5,16,16,19023.553993,19023.580926,0.026933,0x40533c,1,584,348,236
401,5,100,6,16,16,19023.553792,19023.579214,0.025422,0x40533c,1,541,353,188
401,5,100,7,16,16,19023.553596,19023.579032,0.025436,0x40533c,1,694,326,368
401,5,100,8,16,16,19023.553710,19023.579566,0.025856,0x40533c,1,790,397,393
401,5,100,9,16,16,19023.553496,19023.578969,0.025473,0x40533c,1,540,277,263
401,5,100,10,16,16,19023.553483,19023.578839,0.025356,0x40533c,1,647,307,340
401,5,100,11,16,16,19023.553893,19023.578635,0.024742,0x40533c,1,744,344,400
401,5,100,12,16,16,19023.553439,19023.573858,0.020419,0x40533c,1,70,47,23
401,5,100,13,16,16,19023.553511,19023.573605,0.020094,0x40533c,1,62,39,23
401,5,100,14,16,16,19023.553382,19023.573379,0.019997,0x40533c,1,77,40,37
401,5,100,15,16,16,19023.553364,19023.573456,0.020092,0x40533c,1,66,45,21
798,2,200,0,16,16,37110.524363,37295.316444,59.044721,0x4051ce,1,6929042,3820462,3108580
798,2,200,1,16,16,37110.523535,37295.306810,64.488387,0x4051ce,1,7999501,4641165,3358336
798,2,200,2,16,16,37110.524694,37295.370560,66.548113,0x4051ce,1,7985152,5210172,2774980
798,2,200,3,16,16,37110.522163,37295.395325,70.158555,0x4051ce,1,7869771,5855361,2014410
798,2,200,4,16,16,37110.522135,37297.659051,182.812834,0x4051ce,1,21772325,16980300,4792025
798,2,200,5,16,16,37110.522912,37297.639626,181.333029,0x4051ce,1,21887139,16753849,5133290
798,2,200,6,16,16,37110.522829,37297.538603,172.766244,0x4051ce,1,20541735,16152270,4389465
798,2,200,7,16,16,37110.522594,37297.658995,183.257419,0x4051ce,1,22041838,17231665,4810173
798,2,200,8,16,16,37110.524965,37297.552999,182.965582,0x4051ce,1,22129658,16821732,5307926
798,2,200,9,16,16,37110.522761,37297.548791,174.079200,0x4051ce,1,20392255,16625777,3766478
798,2,200,10,16,16,37110.522779,37297.629843,181.163879,0x4051ce,1,21765147,17346264,4418883
798,2,200,11,16,16,37110.523659,37297.636519,181.767343,0x4051ce,1,21691641,17212558,4479083
798,2,200,12,16,16,37110.524510,37295.413581,70.128020,0x4051ce,1,7836379,6088093,1748286
798,2,200,13,16,16,37110.522267,37295.460938,73.107235,0x4051ce,1,7838785,6666928,1171857
798,2,200,14,16,16,37110.522173,37295.463152,73.092775,0x4051ce,1,7835922,6618470,1217452
798,2,200,15,16,16,37110.522026,37295.447920,71.427194,0x4051ce,1,7629063,6418451,1210612
799,3,200,0,16,16,37297.731294,37297.858421,0.127127,0x405218,1,5992,3485,2507
799,3,200,1,16,16,37297.731699,37297.862859,0.131160,0x405218,1,5472,3332,2140
799,3,200,2,16,16,37297.731538,37297.886303,0.154765,0x405218,1,6322,4748,1574
799,3,200,3,16,16,37297.731850,37297.893810,0.161960,0x405218,1,5632,4677,955
