parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits,cpu_id,target_mb_percent,resource_applied,resctrl_enabled,region_wall_ms,resctrl_enable_ms,resctrl_disable_ms,resource_kind,target_l3_ways,target_l3_mask,mon_valid,mon_l3_domains,mon_start_llc_occupancy_bytes,mon_end_llc_occupancy_bytes,mon_llc_occupancy_delta_bytes,mon_start_mbm_total_bytes,mon_end_mbm_total_bytes,mon_mbm_total_delta_bytes,mon_start_mbm_local_bytes,mon_end_mbm_local_bytes,mon_mbm_local_delta_bytes,mon_start_mbm_remote_bytes,mon_end_mbm_remote_bytes,mon_mbm_remote_delta_bytes
1,1,1,0,16,16,9927.860740,9946.093707,18.232967,0x404957,1,274438,273089,1349,32,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,16,16,9927.983744,9945.989674,18.005930,0x404957,1,275449,273818,1631,2,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,2,16,16,9927.998548,9946.495170,18.496622,0x404957,1,275132,273827,1305,4,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,3,16,16,9927.929567,9946.268664,18.339097,0x404957,1,275146,273590,1556,38,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,4,16,16,9927.986026,9946.565912,18.579886,0x404957,1,275595,272977,2618,40,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,5,16,16,9927.925647,9945.654749,17.729102,0x404957,1,275568,273618,1950,10,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,6,16,16,9927.966812,9945.992726,18.025914,0x404957,1,275073,273768,1305,12,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,7,16,16,9928.042550,9946.474129,18.431579,0x404957,1,275259,273820,1439,14,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,8,16,16,9928.199557,9946.051441,17.851884,0x404957,1,275325,273759,1566,16,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,9,16,16,9927.966113,9946.459076,18.492963,0x404957,1,275189,273244,1945,50,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,10,16,16,9928.092444,9946.038376,17.945932,0x404957,1,275109,273778,1331,20,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,11,16,16,9927.959679,9946.009171,18.049492,0x404957,1,275237,273576,1661,54,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,12,16,16,9928.203771,9946.030976,17.827205,0x404957,1,274930,273575,1355,24,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,13,16,16,9928.187605,9946.035537,17.847932,0x404957,1,275274,273727,1547,26,100.000000,0,0,19.996477,1.200000,0.800000,mba,0,,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
