parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr
398,2,100,0,4,4,462.510132,465.644543,2.965413,0x4051e7
398,2,100,1,4,4,462.510184,465.647105,3.086721,0x4051e7
398,2,100,2,4,4,462.510064,465.639658,2.212990,0x4051e7
398,2,100,3,4,4,462.508973,465.639929,2.239112,0x4051e7
399,3,100,0,4,4,465.683574,465.846264,0.162690,0x405228
399,3,100,1,4,4,465.683573,465.864443,0.180870,0x405228
399,3,100,2,4,4,465.683633,465.817435,0.133802,0x405228
399,3,100,3,4,4,465.683502,465.815064,0.131562,0x405228
400,4,100,0,4,4,465.998540,466.028232,0.029692,0x4052de
400,4,100,1,4,4,465.998343,466.022994,0.024651,0x4052de
400,4,100,2,4,4,465.997645,466.015738,0.018093,0x4052de
400,4,100,3,4,4,465.997503,466.016543,0.019040,0x4052de
401,5,100,0,4,4,466.040237,466.063018,0.022781,0x405330
401,5,100,1,4,4,466.040170,466.068806,0.028636,0x405330
401,5,100,2,4,4,466.040120,466.058046,0.017926,0x405330
401,5,100,3,4,4,466.040074,466.059147,0.019073,0x405330
798,2,200,0,4,4,873.195093,876.336116,2.999558,0x4051e7
798,2,200,1,4,4,873.195216,876.336342,3.065796,0x4051e7
798,2,200,2,4,4,873.194151,876.330314,2.247523,0x4051e7
798,2,200,3,4,4,873.193989,876.330028,2.267865,0x4051e7
799,3,200,0,4,4,876.357566,876.531634,0.174068,0x405228
799,3,200,1,4,4,876.357626,876.533673,0.176047,0x405228
799,3,200,2,4,4,876.357687,876.488453,0.130766,0x405228
799,3,200,3,4,4,876.357450,876.485646,0.128196,0x405228
800,4,200,0,4,4,876.661081,876.690044,0.028963,0x4052de
800,4,200,1,4,4,876.660099,876.684609,0.024510,0x4052de
800,4,200,2,4,4,876.660054,876.677995,0.017941,0x4052de
800,4,200,3,4,4,876.659999,876.678933,0.018934,0x4052de
801,5,200,0,4,4,876.701567,876.726537,0.024970,0x405330
801,5,200,1,4,4,876.701625,876.730731,0.029106,0x405330
801,5,200,2,4,4,876.701527,876.719319,0.017792,0x405330
801,5,200,3,4,4,876.701480,876.720324,0.018844,0x405330
1198,2,300,0,4,4,1283.463829,1286.593125,2.835120,0x4051e7
1198,2,300,1,4,4,1283.464079,1286.594350,3.082062,0x4051e7
1198,2,300,2,4,4,1283.464140,1286.587221,2.193705,0x4051e7
1198,2,300,3,4,4,1283.464013,1286.585678,2.182564,0x4051e7
1199,3,300,0,4,4,1286.614836,1286.777587,0.162751,0x405228
1199,3,300,1,4,4,1286.614905,1286.791639,0.176734,0x405228
1199,3,300,2,4,4,1286.614961,1286.752812,0.137851,0x405228
1199,3,300,3,4,4,1286.614754,1286.741305,0.126551,0x405228
1200,4,300,0,4,4,1286.921575,1286.950815,0.029240,0x4052de
1200,4,300,1,4,4,1286.921673,1286.946525,0.024852,0x4052de
1200,4,300,2,4,4,1286.921535,1286.940549,0.019014,0x4052de
