parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,cpu_id,target_mhz,measured_mhz,resource_applied
398,2,100,0,4,4,492.465174,495.687928,3.061214,0x40500b,0,3850.101116,3855.743375,1
398,2,100,1,4,4,492.464767,495.687356,3.101832,0x40500b,40,4300.000000,4299.680910,1
398,2,100,2,4,4,492.464751,495.686189,2.911491,0x40500b,48,3085.523551,3122.879876,1
398,2,100,3,4,4,492.464805,495.684034,3.015161,0x40500b,56,2970.255827,3018.227230,1
399,3,100,0,4,4,495.774515,495.958610,0.184095,0x40504c,0,3503.168046,3800.618859,1
399,3,100,1,4,4,495.773979,495.954058,0.180079,0x40504c,40,3177.134645,4300.000000,1
399,3,100,2,4,4,495.774313,495.951921,0.177608,0x40504c,48,4198.615053,3000.000000,1
399,3,100,3,4,4,495.774172,495.957503,0.183331,0x40504c,56,4300.000000,2900.000000,1
400,4,100,0,4,4,496.133065,496.162590,0.029525,0x4050f7,0,4300.000000,4289.923000,1
400,4,100,1,4,4,496.131791,496.156957,0.025166,0x4050f7,40,906.930014,4300.000000,1
400,4,100,2,4,4,496.131662,496.151420,0.019758,0x4050f7,48,800.000000,4102.109053,1
400,4,100,3,4,4,496.131742,496.152634,0.020892,0x4050f7,56,800.000000,3940.911318,1
401,5,100,0,4,4,496.219126,496.243100,0.023974,0x405149,0,800.000000,4296.392617,1
401,5,100,1,4,4,496.219048,496.248349,0.029301,0x405149,40,4300.000000,4298.519793,1
401,5,100,2,4,4,496.219413,496.238677,0.019264,0x405149,48,800.000000,4097.853403,1
401,5,100,3,4,4,496.219298,496.237660,0.018362,0x405149,56,800.000000,4297.637363,1
798,2,200,0,4,4,964.118818,967.541480,3.104555,0x40500b,0,3741.761446,3802.125643,1
798,2,200,1,4,4,964.117204,967.540776,3.114544,0x40500b,40,4300.000000,4299.557900,1
798,2,200,2,4,4,964.117267,967.537495,3.045831,0x40500b,48,2848.173754,3001.124013,1
798,2,200,3,4,4,964.117282,967.538152,3.127119,0x40500b,56,2761.352837,2911.539224,1
799,3,200,0,4,4,967.611113,967.794045,0.182932,0x40504c,0,1732.539113,3698.586939,1
799,3,200,1,4,4,967.611214,967.793708,0.182494,0x40504c,40,1078.649398,4299.764086,1
799,3,200,2,4,4,967.611616,967.805862,0.194246,0x40504c,48,2541.538030,2799.711712,1
799,3,200,3,4,4,967.611419,967.808337,0.196918,0x40504c,56,4300.000000,2699.862882,1
800,4,200,0,4,4,967.981230,968.013015,0.031785,0x4050f7,0,1817.327457,3694.240349,1
800,4,200,1,4,4,967.979815,968.004614,0.024799,0x4050f7,40,4300.000000,4296.525253,1
800,4,200,2,4,4,967.980162,968.008591,0.028429,0x4050f7,48,910.260773,2798.016997,1
800,4,200,3,4,4,967.980216,968.009527,0.029311,0x4050f7,56,933.971746,2701.856308,1
801,5,200,0,4,4,968.067903,968.094650,0.026747,0x405149,0,800.000000,3698.611632,1
801,5,200,1,4,4,968.067836,968.096711,0.028875,0x405149,40,4300.000000,4300.000000,1
801,5,200,2,4,4,968.068192,968.096531,0.028339,0x405149,48,800.000000,2799.001070,1
801,5,200,3,4,4,968.068372,968.097521,0.029149,0x405149,56,817.879127,2701.873049,1
1198,2,300,0,4,4,1446.018682,1449.453309,3.133937,0x40500b,0,3616.985033,3716.208040,1
1198,2,300,1,4,4,1446.017804,1449.454651,3.217090,0x40500b,40,4300.000000,4157.436974,1
1198,2,300,2,4,4,1446.017702,1449.455039,3.202571,0x40500b,48,2693.418781,2811.157279,1
1198,2,300,3,4,4,1446.017753,1449.453756,3.089587,0x40500b,56,2704.852292,2915.987332,1
1199,3,300,0,4,4,1449.529444,1449.716624,0.187180,0x40504c,0,1464.974543,3598.463180,1
1199,3,300,1,4,4,1449.529493,1449.717382,0.187889,0x40504c,40,969.457207,4099.781403,1
1199,3,300,2,4,4,1449.529877,1449.745868,0.215991,0x40504c,48,3140.328032,2600.000000,1
1199,3,300,3,4,4,1449.529832,1449.725446,0.195614,0x40504c,56,4300.000000,2700.000000,1
1200,4,300,0,4,4,1449.918810,1449.952364,0.033554,0x4050f7,0,4300.000000,3600.000000,1
1200,4,300,1,4,4,1449.917443,1449.943397,0.025954,0x4050f7,40,800.000000,4100.000000,1
1200,4,300,2,4,4,1449.917770,1449.948145,0.030375,0x4050f7,48,800.000000,2600.862069,1
1200,4,300,3,4,4,1449.917594,1449.947021,0.029427,0x4050f7,56,800.000000,2700.000000,1
1201,5,300,0,4,4,1450.008083,1450.035626,0.027543,0x405149,0,800.000000,3596.078431,1
1201,5,300,1,4,4,1450.008214,1450.038368,0.030154,0x405149,40,4300.000000,4100.000000,1
1201,5,300,2,4,4,1450.008468,1450.038840,0.030372,0x405149,48,800.000000,2598.269551,1
1201,5,300,3,4,4,1450.008489,1450.037686,0.029197,0x405149,56,800.000000,2700.000000,1
