parallel_id,region_id,region_exec,thread_id,team_size,requested_threads,start_ms,end_ms,elapsed_ms,codeptr,pmu_valid,pmu_llc_references,pmu_llc_misses,pmu_llc_hits
398,2,100,0,4,4,2701.622994,2728.773582,11.346915,0x404f28,1,1439406,1127,1438279
398,2,100,1,4,4,2701.900400,2728.937164,26.915283,0x404f28,1,5145840,1343,5144497
398,2,100,2,4,4,2702.025974,2728.735137,5.705546,0x404f28,1,1264727,931,1263796
398,2,100,3,4,4,2701.741893,2728.733353,5.543603,0x404f28,1,1219370,865,1218505
399,3,100,0,4,4,2728.997150,2729.077277,0.080127,0x404f80,1,7902,4,7898
399,3,100,1,4,4,2728.997460,2729.154334,0.156874,0x404f80,1,33904,42,33862
399,3,100,2,4,4,2728.996842,2729.049032,0.052190,0x404f80,1,3401,18,3383
399,3,100,3,4,4,2728.996644,2729.047338,0.050694,0x404f80,1,3147,6,3141
400,4,100,0,4,4,2729.182743,2729.205167,0.022424,0x405030,1,707,20,687
400,4,100,1,4,4,2729.183340,2729.214220,0.030880,0x405030,1,1004,61,943
400,4,100,2,4,4,2729.182251,2729.201936,0.019685,0x405030,1,307,15,292
400,4,100,3,4,4,2729.182092,2729.201572,0.019480,0x405030,1,262,2,260
401,5,100,0,4,4,2729.225240,2729.247899,0.022659,0x405097,1,172,35,137
401,5,100,1,4,4,2729.225204,2729.259422,0.034218,0x405097,1,1581,6,1575
401,5,100,2,4,4,2729.225131,2729.244443,0.019312,0x405097,1,194,8,186
401,5,100,3,4,4,2729.224672,2729.243786,0.019114,0x405097,1,174,0,174
798,2,200,0,4,4,5365.041207,5392.791227,11.725141,0x404f28,1,1461733,1027,1460706
798,2,200,1,4,4,5365.038268,5392.953134,27.790435,0x404f28,1,5144473,1339,5143134
798,2,200,2,4,4,5365.037802,5392.753003,5.767068,0x404f28,1,1242446,749,1241697
798,2,200,3,4,4,5365.037343,5392.751613,5.601478,0x404f28,1,1195225,717,1194508
799,3,200,0,4,4,5392.991819,5393.068500,0.076681,0x404f80,1,7780,16,7764
799,3,200,1,4,4,5392.992482,5393.147241,0.154759,0x404f80,1,34334,56,34278
799,3,200,2,4,4,5392.991570,5393.041080,0.049510,0x404f80,1,3010,27,2983
799,3,200,3,4,4,5392.991752,5393.040408,0.048656,0x404f80,1,2907,14,2893
800,4,200,0,4,4,5393.176654,5393.197841,0.021187,0x405030,1,674,4,670
800,4,200,1,4,4,5393.176744,5393.203987,0.027243,0x405030,1,761,4,757
800,4,200,2,4,4,5393.175872,5393.195420,0.019548,0x405030,1,284,5,279
800,4,200,3,4,4,5393.175745,5393.195125,0.019380,0x405030,1,249,3,246
801,5,200,0,4,4,5393.213800,5393.236009,0.022209,0x405097,1,428,24,404
801,5,200,1,4,4,5393.214176,5393.244261,0.030085,0x405097,1,1577,6,1571
801,5,200,2,4,4,5393.213516,5393.232398,0.018882,0x405097,1,156,0,156
801,5,200,3,4,4,5393.213538,5393.232588,0.019050,0x405097,1,117,0,117
1198,2,300,0,4,4,7996.965607,8022.407589,10.729078,0x404f28,1,1446034,805,1445229
1198,2,300,1,4,4,7996.964386,8022.569157,25.486727,0x404f28,1,5119427,964,5118463
1198,2,300,2,4,4,7996.964369,8022.369483,5.357590,0x404f28,1,1227745,558,1227187
1198,2,300,3,4,4,7996.964220,8022.368206,5.196917,0x404f28,1,1195902,466,1195436
1199,3,300,0,4,4,8022.598801,8022.674477,0.075676,0x404f80,1,7380,5,7375
1199,3,300,1,4,4,8022.598555,8022.752534,0.153979,0x404f80,1,33810,24,33786
1199,3,300,2,4,4,8022.597709,8022.647767,0.050058,0x404f80,1,3309,14,3295
1199,3,300,3,4,4,8022.597853,8022.646484,0.048631,0x404f80,1,3040,13,3027
1200,4,300,0,4,4,8022.781805,8022.802837,0.021032,0x405030,1,733,2,731
1200,4,300,1,4,4,8022.782052,8022.808582,0.026530,0x405030,1,869,0,869
1200,4,300,2,4,4,8022.781077,8022.800714,0.019637,0x405030,1,256,2,254
1200,4,300,3,4,4,8022.781004,8022.800387,0.019383,0x405030,1,250,1,249
1201,5,300,0,4,4,8022.818712,8022.841644,0.022932,0x405097,1,365,3,362
1201,5,300,1,4,4,8022.818908,8022.849014,0.030106,0x405097,1,1570,0,1570
1201,5,300,2,4,4,8022.818575,8022.837591,0.019016,0x405097,1,177,5,172
1201,5,300,3,4,4,8022.818549,8022.837481,0.018932,0x405097,1,150,0,150
1598,2,400,0,4,4,10632.890567,10658.323871,10.767285,0x404f28,1,1436688,722,1435966
1598,2,400,1,4,4,10632.889893,10658.484523,25.478501,0x404f28,1,5124185,867,5123318
1598,2,400,2,4,4,10632.889588,10658.286386,5.369765,0x404f28,1,1243302,655,1242647
1598,2,400,3,4,4,10632.889712,10658.285543,5.230857,0x404f28,1,1199061,493,1198568
1599,3,400,0,4,4,10658.508046,10658.587623,0.079577,0x404f80,1,7067,6,7061
1599,3,400,1,4,4,10658.508175,10658.665889,0.157714,0x404f80,1,33646,19,33627
1599,3,400,2,4,4,10658.507352,10658.556613,0.049261,0x404f80,1,2977,11,2966
1599,3,400,3,4,4,10658.507423,10658.555448,0.048025,0x404f80,1,2788,1,2787
1600,4,400,0,4,4,10658.700256,10658.722166,0.021910,0x405030,1,733,2,731
1600,4,400,1,4,4,10658.700310,10658.727104,0.026794,0x405030,1,809,2,807
1600,4,400,2,4,4,10658.699627,10658.719197,0.019570,0x405030,1,300,4,296
1600,4,400,3,4,4,10658.699692,10658.719075,0.019383,0x405030,1,390,50,340
1601,5,400,0,4,4,10658.737532,10658.760037,0.022505,0x405097,1,392,5,387
1601,5,400,1,4,4,10658.737709,10658.768316,0.030607,0x405097,1,1587,0,1587
1601,5,400,2,4,4,10658.737457,10658.756508,0.019051,0x405097,1,169,0,169
1601,5,400,3,4,4,10658.737492,10658.756577,0.019085,0x405097,1,102,0,102
1998,2,500,0,4,4,13263.819402,13289.746812,11.083506,0x404f28,1,1450359,819,1449540
1998,2,500,1,4,4,13263.818702,13289.907550,25.969431,0x404f28,1,5122896,953,5121943
1998,2,500,2,4,4,13263.818571,13289.707164,5.499311,0x404f28,1,1248825,480,1248345
1998,2,500,3,4,4,13263.818484,13289.705580,5.371625,0x404f28,1,1195710,444,1195266
1999,3,500,0,4,4,13289.930612,13290.007889,0.077277,0x404f80,1,7032,13,7019
1999,3,500,1,4,4,13289.930800,13290.087838,0.157038,0x404f80,1,34518,27,34491
1999,3,500,2,4,4,13289.929965,13289.983891,0.053926,0x404f80,1,3261,16,3245
1999,3,500,3,4,4,13289.930126,13289.980552,0.050426,0x404f80,1,2798,2,2796
2000,4,500,0,4,4,13290.116508,13290.137408,0.020900,0x405030,1,700,5,695
2000,4,500,1,4,4,13290.117212,13290.144294,0.027082,0x405030,1,809,1,808
2000,4,500,2,4,4,13290.116152,13290.135730,0.019578,0x405030,1,272,6,266
2000,4,500,3,4,4,13290.116226,13290.135831,0.019605,0x405030,1,419,2,417
2001,5,500,0,4,4,13290.154464,13290.176674,0.022210,0x405097,1,248,1,247
2001,5,500,1,4,4,13290.154634,13290.185108,0.030474,0x405097,1,2010,4,2006
2001,5,500,2,4,4,13290.154253,13290.173091,0.018838,0x405097,1,132,0,132
2001,5,500,3,4,4,13290.154340,13290.173300,0.018960,0x405097,1,142,0,142
2398,2,600,0,4,4,15894.574465,15920.720576,11.047687,0x404f28,1,1447881,795,1447086
2398,2,600,1,4,4,15894.578056,15920.883828,26.182183,0x404f28,1,5136883,935,5135948
2398,2,600,2,4,4,15894.573198,15920.680933,5.465927,0x404f28,1,1242721,480,1242241
2398,2,600,3,4,4,15894.573112,15920.679254,5.353143,0x404f28,1,1210690,491,1210199
2399,3,600,0,4,4,15920.907035,15920.985148,0.078113,0x404f80,1,7183,9,7174
2399,3,600,1,4,4,15920.907374,15921.064472,0.157098,0x404f80,1,34187,30,34157
2399,3,600,2,4,4,15920.906584,15920.958863,0.052279,0x404f80,1,2966,10,2956
2399,3,600,3,4,4,15920.906513,15920.956638,0.050125,0x404f80,1,2776,3,2773
2400,4,600,0,4,4,15921.093310,15921.114544,0.021234,0x405030,1,636,5,631
2400,4,600,1,4,4,15921.093466,15921.121083,0.027617,0x405030,1,882,2,880
2400,4,600,2,4,4,15921.092628,15921.112268,0.019640,0x405030,1,272,3,269
2400,4,600,3,4,4,15921.092574,15921.111924,0.019350,0x405030,1,281,2,279
2401,5,600,0,4,4,15921.131227,15921.153368,0.022141,0x405097,1,440,3,437
2401,5,600,1,4,4,15921.131693,15921.163387,0.031694,0x405097,1,2029,3,2026
2401,5,600,2,4,4,15921.131412,15921.150283,0.018871,0x405097,1,176,0,176
2401,5,600,3,4,4,15921.131217,15921.150104,0.018887,0x405097,1,130,0,130
2798,2,700,0,4,4,18528.907523,18555.041532,11.041824,0x404f28,1,1434738,771,1433967
2798,2,700,1,4,4,18528.907461,18555.204673,26.173689,0x404f28,1,5133936,880,5133056
2798,2,700,2,4,4,18528.906947,18555.003583,5.503268,0x404f28,1,1255492,489,1255003
2798,2,700,3,4,4,18528.906589,18555.001847,5.354770,0x404f28,1,1201197,433,1200764
