from_exec,to_exec,measure_interval_ms,resctrl_interval_ms,delta_interval_ms,delta_per_step_ms,cumulative_delta_from_exec100_start_ms,measure_end_interval_ms,resctrl_end_interval_ms,delta_end_interval_ms,delta_end_per_step_ms,cumulative_delta_from_exec100_end_ms
100,200,18265.674348,18136.436065,-129.23828299999877,-1.2923828299999878,-129.23828299999877,18274.74389,18138.474298,-136.26959200000056,-1.3626959200000055,-136.26959200000056
200,300,18516.235071000003,18079.45848,-436.77659100000164,-4.367765910000016,-566.0148740000004,18512.285660999994,18081.495650999997,-430.790009999997,-4.30790009999997,-567.0596019999975
300,400,18447.477705000005,18102.257039000004,-345.2206660000011,-3.4522066600000105,-911.2355400000015,18445.884217,18090.560706000004,-355.32351099999505,-3.5532351099999504,-922.3831129999926
400,500,18241.617746999997,17894.480341999995,-347.1374050000013,-3.471374050000013,-1258.3729450000028,18237.173263000004,17900.252217,-336.9210460000031,-3.369210460000031,-1259.3041589999957
500,600,17531.655967999992,17304.510916999992,-227.1450509999995,-2.2714505099999953,-1485.5179960000023,17522.422275999998,17286.130871999994,-236.29140400000324,-2.3629140400000326,-1495.595562999999
600,700,16534.13098700001,16306.515947000007,-227.61504000000423,-2.2761504000000423,-1713.1330360000065,16525.461611000006,16300.004251000006,-225.45736000000034,-2.254573600000003,-1721.0529229999993
700,800,16001.382723000002,15813.351629000012,-188.03109399999084,-1.8803109399999085,-1901.1641299999974,15996.37053900001,15804.883010999998,-191.4875280000124,-1.9148752800001239,-1912.5404510000117
800,900,15411.197761999996,15251.299450999999,-159.8983109999972,-1.5989831099999718,-2061.0624409999946,15407.269319999992,15246.332788,-160.93653199999244,-1.6093653199999245,-2073.476983000004
900,1000,14995.096044999984,14803.409591999982,-191.68645300000207,-1.9168645300000207,-2252.7488939999967,14988.258952000004,14800.964043999993,-187.29490800001076,-1.8729490800001076,-2260.771891000015
1000,1100,14059.451195000001,13873.075318000017,-186.37587699998403,-1.8637587699998404,-2439.1247709999807,14049.41906699998,13859.355948000011,-190.06311899996945,-1.9006311899996944,-2450.8350099999843
1100,1200,13301.134464000002,13229.130156,-72.00430800000322,-0.7200430800000323,-2511.129078999984,13292.388565000001,13223.929352999985,-68.45921200001612,-0.6845921200001612,-2519.2942220000004
1200,1300,12299.880220000021,12511.109177999984,211.2289579999633,2.1122895799996333,-2299.9001210000206,12291.617838000006,12503.800452000025,212.18261400001938,2.1218261400001937,-2307.111607999981
1300,1400,11542.43982,11578.79045,36.35063000000082,0.3635063000000082,-2263.5494910000198,11537.05380699999,11571.093164999998,34.03935800000909,0.3403935800000909,-2273.072249999972
1400,1500,11002.404825999984,11067.071148000017,64.66632200003369,0.6466632200003368,-2198.883168999986,10995.851587000012,11061.423768999986,65.57218199997442,0.6557218199997442,-2207.5000679999976
1500,1600,10355.965908999991,10535.358451999986,179.39254299999448,1.7939254299999448,-2019.4906259999916,10349.347460999998,10527.75740100001,178.40994000001228,1.784099400000123,-2029.0901279999853
1600,1700,9859.460577999998,9911.100246999995,51.6396689999965,0.516396689999965,-1967.850956999995,9856.440170999995,9910.074276999978,53.63410599998315,0.5363410599998315,-1975.4560220000021
1700,1800,9566.609128000011,9715.296403000015,148.68727500000386,1.4868727500000387,-1819.1636819999912,9564.77500699999,9712.808393000014,148.03338600002462,1.4803338600002462,-1827.4226359999775
1800,1900,9239.331504000002,9454.91710999998,215.58560599997872,2.1558560599997874,-1603.5780760000125,9234.764017000038,9452.973256999976,218.2092399999383,2.182092399999383,-1609.2133960000392
1900,2000,8929.704044000013,9120.418732999999,190.7146889999858,1.907146889999858,-1412.8633870000267,8926.575629999978,9116.792799999996,190.2171700000181,1.9021717000001808,-1418.9962260000211
