from_exec,to_exec,measure_interval_ms,resctrl_interval_ms,delta_interval_ms,measure_end_interval_ms,resctrl_end_interval_ms,delta_end_interval_ms
100,200,18265.674348,18136.436065,-129.23828299999877,18274.74389,18138.474298,-136.26959200000056
200,300,18516.235071000003,18079.45848,-436.77659100000164,18512.285660999994,18081.495650999997,-430.790009999997
300,400,18447.477705000005,18102.257039000004,-345.2206660000011,18445.884217,18090.560706000004,-355.32351099999505
400,500,18241.617746999997,17894.480341999995,-347.1374050000013,18237.173263000004,17900.252217,-336.9210460000031
500,600,17531.655967999992,17304.510916999992,-227.1450509999995,17522.422275999998,17286.130871999994,-236.29140400000324
600,700,16534.13098700001,16306.515947000007,-227.61504000000423,16525.461611000006,16300.004251000006,-225.45736000000034
700,800,16001.382723000002,15813.351629000012,-188.03109399999084,15996.37053900001,15804.883010999998,-191.4875280000124
800,900,15411.197761999996,15251.299450999999,-159.8983109999972,15407.269319999992,15246.332788,-160.93653199999244
900,1000,14995.096044999984,14803.409591999982,-191.68645300000207,14988.258952000004,14800.964043999993,-187.29490800001076
1000,1100,14059.451195000001,13873.075318000017,-186.37587699998403,14049.41906699998,13859.355948000011,-190.06311899996945
1100,1200,13301.134464000002,13229.130156,-72.00430800000322,13292.388565000001,13223.929352999985,-68.45921200001612
1200,1300,12299.880220000021,12511.109177999984,211.2289579999633,12291.617838000006,12503.800452000025,212.18261400001938
1300,1400,11542.43982,11578.79045,36.35063000000082,11537.05380699999,11571.093164999998,34.03935800000909
1400,1500,11002.404825999984,11067.071148000017,64.66632200003369,10995.851587000012,11061.423768999986,65.57218199997442
1500,1600,10355.965908999991,10535.358451999986,179.39254299999448,10349.347460999998,10527.75740100001,178.40994000001228
1600,1700,9859.460577999998,9911.100246999995,51.6396689999965,9856.440170999995,9910.074276999978,53.63410599998315
1700,1800,9566.609128000011,9715.296403000015,148.68727500000386,9564.77500699999,9712.808393000014,148.03338600002462
1800,1900,9239.331504000002,9454.91710999998,215.58560599997872,9234.764017000038,9452.973256999976,218.2092399999383
1900,2000,8929.704044000013,9120.418732999999,190.7146889999858,8926.575629999978,9116.792799999996,190.2171700000181
