region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
100,2,heat_update,18844.847678,18838.288147,-6.5595309999989695,19022.915161,19027.796528,4.881366999998136,178.06748300000254,189.50838099999964,11.440897999997105
100,3,importance,19023.03111,19027.981403,4.950293000001693,19023.315255,19028.34814,5.032884999996895,0.2841450000014447,0.3667369999966468,0.08259199999520206
100,4,mark_refine,19023.488015,19028.92391,5.435895000002347,19023.518879,19028.965671,5.4467920000024606,0.030864000000292435,0.04176100000040606,0.010897000000113621
100,5,mark_coarsen,19023.553364,19029.022588,5.469224000000395,19023.581056,19029.068061,5.487005000002682,0.027691999999660766,0.045473000001948094,0.017781000002287328
200,2,heat_update,37110.522026,36974.724212,-135.79781399999774,37297.659051,37166.270826,-131.38822500000242,187.13702500000363,191.54661399999895,4.4095889999953215
200,3,importance,37297.731126,37166.464356,-131.266770000002,37298.037688,37166.841391,-131.19629699999496,0.306561999997939,0.37703500000498025,0.07047300000704126
200,4,mark_refine,37298.212303,37167.658319,-130.5539839999983,37298.245802,37167.712644,-130.53315799999837,0.033498999997391365,0.05432499999733409,0.020825999999942724
200,5,mark_coarsen,37298.285364,37167.785847,-130.49951700000383,37298.314247,37167.816867,-130.4973800000007,0.028882999999041203,0.03102000000217231,0.0021370000031311065
300,2,heat_update,55626.757097,55054.182692,-572.5744049999994,55809.944712,55247.766477,-562.1782349999994,183.18761499999528,193.58378499999526,10.396169999999984
300,3,importance,55810.028497,55247.950809,-562.0776879999976,55810.324703,55248.327984,-561.9967189999952,0.29620599999907427,0.37717500000144355,0.08096900000236928
300,4,mark_refine,55810.508427,55249.139699,-561.3687280000013,55810.539957,55249.203621,-561.3363360000003,0.03153000000020256,0.06392200000118464,0.03239200000098208
300,5,mark_coarsen,55810.568092,55249.279764,-561.2883280000024,55810.595607,55249.31278,-561.2828270000027,0.027515000001585577,0.03301600000122562,0.005500999999640044
400,2,heat_update,74074.234802,73156.439731,-917.7950710000005,74255.828929,73338.327183,-917.5017459999945,181.59412699998938,181.8874519999954,0.29332500000600703
400,3,importance,74255.929564,73338.526642,-917.4029220000084,74256.222097,73338.830699,-917.391398000007,0.2925329999998212,0.30405700000119396,0.01152400000137277
400,4,mark_refine,74256.393714,73339.654163,-916.739551000006,74256.427211,73339.706998,-916.7202130000078,0.033496999996714294,0.05283499999495689,0.019337999998242594
400,5,mark_coarsen,74256.455686,73339.78702,-916.6686659999978,74256.482739,73339.81693,-916.6658089999983,0.027052999997977167,0.02990999999747146,0.002856999999494292
500,2,heat_update,92315.852549,91050.920073,-1264.9324760000018,92493.002192,91238.5794,-1254.4227919999976,177.149642999997,187.6593270000012,10.5096840000042
500,3,importance,92493.073682,91238.791645,-1254.2820369999972,92493.366157,91239.172897,-1254.19326,0.292474999994738,0.3812519999919459,0.0887769999972079
500,4,mark_refine,92493.537662,91239.970904,-1253.5667580000008,92493.569036,91240.021852,-1253.5471839999955,0.03137399999832269,0.050948000003700145,0.019574000005377457
500,5,mark_coarsen,92493.606285,91240.086835,-1253.519450000007,92493.635184,91240.122968,-1253.5122160000028,0.028898999997181818,0.03613300000142772,0.0072340000042459
600,2,heat_update,109847.508517,108355.43099,-1492.0775270000013,110015.424468,108524.710272,-1490.7141960000008,167.91595100000268,169.27928200000315,1.3633310000004712
600,3,importance,110015.508943,108524.911227,-1490.5977159999893,110015.786028,108525.251472,-1490.5345559999987,0.2770850000088103,0.34024499999941327,0.06315999999060296
600,4,mark_refine,110015.97442,108526.040662,-1489.9337579999992,110016.007075,108526.093573,-1489.9135019999958,0.03265500000270549,0.05291100000613369,0.0202560000034282
600,5,mark_coarsen,110016.03559,108526.16445,-1489.871140000003,110016.064067,108526.195307,-1489.8687599999976,0.02847699999983888,0.030857000005198643,0.0023800000053597614
700,2,heat_update,126381.639504,124661.946937,-1719.6925670000055,126540.886079,124824.714523,-1716.1715560000011,159.2465749999974,162.76758600000176,3.521011000004364
700,3,importance,126540.978701,124824.903889,-1716.0748120000062,126541.248938,124825.231915,-1716.0170230000076,0.270237000004272,0.32802600000286475,0.05778899999859277
700,4,mark_refine,126541.423424,124826.015875,-1715.407548999996,126541.454397,124826.065158,-1715.3892389999965,0.030973000000813045,0.04928300000028685,0.018309999999473803
700,5,mark_coarsen,126541.482808,124826.143911,-1715.3388969999942,126541.511563,124826.174306,-1715.337256999992,0.028754999992088415,0.030394999994314276,0.001640000002225861
800,2,heat_update,142383.022227,140475.298566,-1907.7236609999964,142537.256618,140629.597534,-1907.6590840000135,154.23439100000542,154.29896799998824,0.06457699998281896
800,3,importance,142537.343574,140629.785189,-1907.5583850000112,142537.612862,140630.057166,-1907.5556959999958,0.26928800001041964,0.2719770000257995,0.002689000015379861
800,4,mark_refine,142537.784055,140630.846742,-1906.9373130000022,142537.822756,140630.896898,-1906.9258580000023,0.03870100001222454,0.050156000012066215,0.011454999999841675
800,5,mark_coarsen,142537.866267,140630.956946,-1906.9093210000137,142537.89342,140630.987458,-1906.905962000019,0.027153000002726912,0.03051199999754317,0.0033589999948162585
900,2,heat_update,157794.219989,155726.598017,-2067.6219719999935,157944.525938,155875.930322,-2068.595616000006,150.30594900000142,149.332304999989,-0.9736440000124276
900,3,importance,157944.591344,155876.116914,-2068.474429999973,157944.857538,155876.379381,-2068.478157000005,0.2661940000252798,0.2624669999931939,-0.0037270000320859253
900,4,mark_refine,157945.032881,155877.170809,-2067.862071999989,157945.064683,155877.233661,-2067.8310219999985,0.031802000012248755,0.06285200000274926,0.03104999999050051
900,5,mark_coarsen,157945.103141,155877.294776,-2067.8083650000044,157945.129729,155877.323156,-2067.806573000009,0.026588000007905066,0.0283800000033807,0.001791999995475635
1000,2,heat_update,172789.316034,170530.007609,-2259.3084249999956,172932.78489,170676.894366,-2255.8905240000167,143.46885600002133,146.88675700000022,3.417900999978883
1000,3,importance,172932.865142,170677.078001,-2255.787141000008,172933.124345,170677.334035,-2255.790309999982,0.25920299999415874,0.25603400002000853,-0.0031689999741502106
1000,4,mark_refine,172933.308388,170678.129214,-2255.179174000019,172933.338656,170678.183304,-2255.1553520000016,0.030268000002251938,0.05409000001964159,0.023822000017389655
1000,5,mark_coarsen,172933.367816,170678.245088,-2255.1227280000167,172933.394279,170678.272259,-2255.12202000001,0.02646299998741597,0.02717099999426864,0.0007080000068526715
1100,2,heat_update,186848.767229,184403.082927,-2445.6843019999797,186982.203957,184536.250314,-2445.953642999986,133.43672800000058,133.16738699999405,-0.26934100000653416
1100,3,importance,186982.27791,184536.434244,-2445.8436660000007,186982.517512,184536.680917,-2445.8365950000007,0.23960199998691678,0.24667299998691306,0.007070999999996275
1100,4,mark_refine,186982.689258,184537.470049,-2445.2192090000026,186982.719638,184537.519767,-2445.199871000019,0.030380000011064112,0.04971799999475479,0.01933799998369068
1100,5,mark_coarsen,186982.746358,184537.582671,-2445.163686999993,186982.772467,184537.612371,-2445.160096000007,0.02610899999854155,0.02969999998458661,0.0035909999860450625
1200,2,heat_update,200149.901693,197632.213083,-2517.688609999983,200274.592522,197760.179667,-2514.4128550000023,124.69082899999921,127.96658399997978,3.2757549999805633
1200,3,importance,200274.66556,197760.377584,-2514.2879759999923,200274.901646,197760.609702,-2514.291944000026,0.23608600001898594,0.23211799998534843,-0.003968000033637509
1200,4,mark_refine,200275.075607,197761.354547,-2513.7210600000108,200275.108202,197761.400887,-2513.707315000007,0.03259499999694526,0.04634000000078231,0.013745000003837049
1200,5,mark_coarsen,200275.148524,197761.462132,-2513.6863920000033,200275.174357,197761.494595,-2513.6797620000143,0.025833000021521002,0.0324630000104662,0.006629999988945201
1300,2,heat_update,212449.781913,210143.322261,-2306.4596520000196,212566.21036,210263.980119,-2302.230240999983,116.42844699998386,120.6578580000205,4.2294110000366345
1300,3,importance,212566.274463,210264.182128,-2302.092335000023,212566.492703,210264.443696,-2302.049006999994,0.21823999998741783,0.26156800001626834,0.04332800002885051
1300,4,mark_refine,212566.67499,210265.157853,-2301.517136999988,212566.706516,210265.206453,-2301.500063000014,0.03152600000612438,0.0485999999800697,0.01707399997394532
1300,5,mark_coarsen,212566.734256,210265.266786,-2301.4674700000032,212566.760747,210265.296821,-2301.4639259999967,0.02649099999689497,0.03003500000340864,0.00354400000651367
1400,2,heat_update,223992.221733,221722.112711,-2270.1090220000187,224103.264167,221835.073284,-2268.190882999974,111.04243399997358,112.96057300001848,1.9181390000449028
1400,3,importance,224103.338229,221835.237402,-2268.1008269999875,224103.5604,221835.448435,-2268.111964999989,0.22217100000125356,0.21103299999958836,-0.011138000001665205
1400,4,mark_refine,224103.729074,221836.147573,-2267.581501000008,224103.761903,221836.204807,-2267.557096000004,0.03282900000340305,0.05723400000715628,0.02440500000375323
1400,5,mark_coarsen,224103.790577,221836.269328,-2267.521249000012,224103.822639,221836.298628,-2267.5240110000013,0.03206199998385273,0.02929999999469146,-0.002761999989161268
1500,2,heat_update,234994.626559,232789.183859,-2205.442699999985,235099.115754,232896.497053,-2202.6187009999994,104.48919500000193,107.31319399998756,2.8239989999856334
1500,3,importance,235099.179097,232896.652021,-2202.5270759999985,235099.382835,232896.858114,-2202.5247209999943,0.20373800001107156,0.2060930000152439,0.002355000004172325
1500,4,mark_refine,235099.545493,232897.508828,-2202.0366650000215,235099.575807,232897.547544,-2202.0282629999856,0.030313999974168837,0.03871600001002662,0.008402000035857782
1500,5,mark_coarsen,235099.609669,232897.606932,-2202.0027370000025,235099.635695,232897.633241,-2202.0024540000013,0.02602600000682287,0.02630900000804104,0.00028300000121816993
1600,2,heat_update,245350.592468,243324.542311,-2026.0501569999906,245448.463215,243424.254454,-2024.2087609999871,97.87074700000812,99.71214300001157,1.8413960000034422
1600,3,importance,245448.526708,243424.393137,-2024.133570999984,245448.725686,243424.586659,-2024.1390269999974,0.19897800000035204,0.19352199998684227,-0.005456000013509765
1600,4,mark_refine,245448.889227,243425.194342,-2023.6948850000044,245448.921019,243425.239386,-2023.6816330000001,0.03179199999431148,0.04504399999859743,0.013252000004285946
