region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads
2,heat_update,100,174.11108400000012,183.09516499999881,8.984080999998696,172.55072,173.32133,0.7706099999999765,114.3816055625,128.5100913125,14.12848575000001,113.94676000000001,93.49576699999999,-20.450993000000025,0.7514366952038498,0.7432140187582912,-0.822267644555863,70.0,40.0,100.0,16
3,importance,100,0.3053379999983008,0.3499630000005709,0.0446250000022701,0.304886,0.349698,0.04481200000000002,0.217546875,0.2220160625,0.004469187499999999,0.177925,0.22208,0.044155,0.686657494696749,0.6802404485448339,-0.6417046151915073,75.625,50.0,100.0,0
4,mark_refine,100,0.031974999998055864,0.03975399999762885,0.007778999999572989,0.030552,0.034253,0.0037009999999999994,0.024812,0.02507375,0.0002617499999999981,0.008524999999999998,0.012317999999999999,0.0037930000000000012,0.7573256988885146,0.7472013366750209,-1.0124362213493776,75.0,60.0,100.0,0
5,mark_coarsen,100,0.0293920000003709,0.0440679999992426,0.014675999998871703,0.028458,0.038272,0.009814,0.0250554375,0.0275673125,0.0025118750000000002,0.00665,0.014284000000000002,0.007634000000000002,0.5514193438721741,0.5524500907441017,0.10307468719276125,91.25,80.0,100.0,0
2,heat_update,200,181.01383599999826,186.65485900000203,5.64102300000377,180.395251,176.9677,-3.427550999999994,118.5470761875,146.5374413125,27.990365124999997,121.216397,67.564192,-53.652204999999995,0.7598542872388107,0.7554442149684211,-0.44100722703895867,65.0,30.0,100.0,16
3,importance,200,0.31135899999935646,0.37435399999958463,0.06299500000022817,0.310729,0.374173,0.063444,0.2172251875,0.2276525625,0.010427374999999989,0.18643899999999997,0.264304,0.07786500000000002,0.6832490220574682,0.6805162826566369,-0.27327394008312966,65.625,30.0,100.0,0
4,mark_refine,200,0.03183300000091549,0.06062499999825377,0.02879199999733828,0.029999,0.053739,0.02374,0.0227134375,0.0265076875,0.0037942500000000025,0.009892000000000001,0.031979,0.022087,0.7919689556267926,0.7307146237576905,-6.125433186910212,55.625,40.0,100.0,0
5,mark_coarsen,200,0.03062099999806378,0.040522999996028375,0.009901999997964595,0.030223,0.037592,0.0073690000000000005,0.0232095,0.0258915625,0.0026820624999999987,0.010192,0.01589,0.005698000000000002,0.5745563111627136,0.5948115235774688,2.0255212414755253,81.25,60.0,100.0,0
2,heat_update,300,182.65498300000036,184.2485319999978,1.593548999997438,181.892566,179.094358,-2.7982079999999883,119.37526275,146.95747306250001,27.58221031250001,122.88283199999998,70.062604,-52.820227999999986,0.7597267859345846,0.7553051218310007,-0.4421664103583911,65.0,30.0,100.0,16
3,importance,300,0.309358999998949,0.3047930000029737,-0.0045659999959752895,0.307894,0.303644,-0.004249999999999976,0.2151795,0.22120375,0.006024250000000009,0.183846,0.18420600000000004,0.00036000000000002697,0.6831447940632318,0.6811874076784432,-0.19573863847885953,60.625,20.0,100.0,0
4,mark_refine,300,0.032117999995534774,0.05429100000037579,0.022173000004841015,0.030363,0.046267,0.015904,0.0244000625,0.025618500000000002,0.0012184375000000025,0.008479,0.024262000000000002,0.015783000000000002,0.792595131984916,0.7426146010186757,-4.998053096624034,40.0,30.0,100.0,0
5,mark_coarsen,300,0.028577999997651204,0.0412369999976363,0.012658999999985099,0.028203,0.038429,0.010225999999999999,0.024574875,0.0256286875,0.001053812500000001,0.006592000000000001,0.016762999999999997,0.010170999999999996,0.5374783020356636,0.586687306501548,4.920900446588439,75.625,50.0,100.0,0
2,heat_update,400,181.34179800000857,187.3259490000055,5.984150999996928,180.82898,182.47645,1.6474699999999984,118.54509375,147.73039624999998,29.185302499999977,121.70074600000001,74.428491,-47.272255000000015,0.7596497980563078,0.754478497657438,-0.5171300398869816,65.0,30.0,100.0,16
3,importance,400,0.3092679999972461,0.3786579999868991,0.069389999989653,0.308537,0.376808,0.06827099999999997,0.2170211875,0.2258838125,0.008862625000000013,0.19470500000000002,0.266738,0.07203299999999996,0.6812026890388873,0.6765793696119224,-0.46233194269648115,60.0,20.0,100.0,0
4,mark_refine,400,0.03084800000942778,0.061373999997158535,0.030525999987730756,0.028689,0.053678,0.024988999999999997,0.0227855,0.02611175,0.0033262499999999993,0.008523,0.03189499999999999,0.023371999999999993,0.7898708703672648,0.763245584805065,-2.6625285562199785,25.625,20.0,100.0,0
5,mark_coarsen,400,0.03679600000032224,0.04034400000819005,0.003548000007867813,0.035388,0.037684,0.0022959999999999994,0.023439250000000002,0.025707,0.002267749999999999,0.015499000000000002,0.016044000000000003,0.0005450000000000003,0.5704384268214056,0.6003314001657001,2.9892973344294527,71.25,40.0,100.0,0
2,heat_update,500,177.90608399998746,182.33374000000185,4.4276560000143945,177.320738,177.86244,0.5417019999999866,116.4076045,144.8161904375,28.408585937500007,119.00001700000001,72.02707,-46.97294700000002,0.7564287294563767,0.7517437865971023,-0.46849428592744546,65.0,30.0,100.0,16
3,importance,500,0.3037610000028508,0.3583619999990333,0.05460099999618251,0.302872,0.357238,0.054366000000000025,0.21200687499999998,0.2231451875,0.011138312500000025,0.18361399999999997,0.246187,0.06257300000000002,0.6767895581117951,0.6723731784814287,-0.44163796303663405,60.0,20.0,100.0,0
4,mark_refine,500,0.030082999990554526,0.0493199999909848,0.01923700000043027,0.028465,0.04252,0.014055000000000002,0.02273525,0.0255845,0.002849250000000001,0.008343,0.020566,0.012223000000000001,0.7874057182950359,0.7480484969274207,-3.9357221367615214,25.625,20.0,100.0,0
5,mark_coarsen,500,0.03733600000850856,0.04123200000321958,0.003895999994711019,0.036881,0.038874,0.0019930000000000017,0.02380975,0.0268985625,0.0030888124999999995,0.016937999999999998,0.017255,0.0003170000000000013,0.5460300712213136,0.5610491407898703,1.5019069568556698,58.125,30.0,100.0,0
2,heat_update,600,166.9795710000035,174.54078799999843,7.56121699999494,166.249852,169.650005,3.400152999999989,110.5435934375,138.758130125,28.214536687500015,109.40240700000001,67.44246899999999,-41.95993800000002,0.7445547500384083,0.7405560995467654,-0.3998650491642941,65.0,30.0,100.0,16
3,importance,600,0.29179499999736436,0.34864399999787565,0.056849000000511296,0.291473,0.348149,0.056676000000000004,0.21045175,0.212223,0.001771250000000002,0.172904,0.23318499999999998,0.060280999999999973,0.6632877210655921,0.6599371196330353,-0.33506014325568323,60.0,20.0,100.0,0
4,mark_refine,600,0.03298499999800697,0.05137799998919945,0.018392999991192482,0.030161,0.0423,0.012138999999999997,0.024502,0.02567175,0.0011697500000000007,0.008497000000000001,0.02038,0.011882999999999998,0.778600269179004,0.7577670709420169,-2.083319823698715,25.625,20.0,100.0,0
5,mark_coarsen,600,0.04102999999304302,0.04077500000130385,-0.00025499999173916876,0.040206,0.037875,-0.0023309999999999997,0.0265094375,0.02574025,-0.0007691875000000008,0.018598999999999997,0.016304,-0.0022949999999999984,0.5371275421724736,0.5913768630234209,5.424932085094724,58.125,30.0,100.0,0
2,heat_update,700,160.4143550000008,160.72515899999416,0.31080399999336805,159.527343,154.465549,-5.061793999999992,107.13237875,133.2529573125,26.1205785625,103.79482,54.04642600000001,-49.74839399999999,0.7331753834324468,0.7306153038711608,-0.25600795612860106,65.0,30.0,100.0,16
3,importance,700,0.28268399999069516,0.2815929999924265,-0.0010909999982686713,0.282418,0.279148,-0.003269999999999995,0.2022654375,0.2035343125,0.0012688750000000026,0.162135,0.167097,0.004961999999999994,0.6551199382790326,0.6558922793222226,0.07723410431900168,60.0,20.0,100.0,0
4,mark_refine,700,0.03280000000086147,0.05107000000134576,0.018270000000484288,0.030131,0.043896,0.013764999999999996,0.0248160625,0.025648999999999998,0.0008329374999999986,0.008414000000000001,0.022056999999999997,0.013642999999999995,0.7755859045692126,0.7732044659223463,-0.23814386468663518,25.625,20.0,100.0,0
5,mark_coarsen,700,0.040720999997574836,0.030837999991490506,-0.00988300000608433,0.039286,0.028243,-0.011043,0.0256673125,0.024705875,-0.0009614375000000022,0.017734,0.006614000000000002,-0.011119999999999998,0.5465455724943237,0.5981464600425402,5.160088754821657,58.125,30.0,100.0,0
2,heat_update,800,151.98700799999642,159.79144400000223,7.804436000005808,151.448956,154.817249,3.368292999999994,102.4120971875,130.815435125,28.403337937499998,97.03206100000001,56.00707800000001,-41.024983000000006,0.7267416199920385,0.7251835850695286,-0.15580349225098322,65.0,30.0,100.0,16
3,importance,800,0.2684759999974631,0.3291299999982584,0.06065400000079535,0.267906,0.327949,0.06004300000000001,0.1933591875,0.2031691875,0.009809999999999985,0.15569799999999998,0.223957,0.06825900000000001,0.6497117012839474,0.6451428897381781,-0.4568811545769269,60.0,20.0,100.0,0
4,mark_refine,800,0.03057899998384528,0.05093800000031479,0.02035900001646951,0.028116,0.042771,0.014655000000000005,0.02281425,0.0258029375,0.0029886875,0.007868999999999998,0.020895000000000004,0.013026000000000006,0.7843501774547913,0.7631363561957767,-2.121382125901461,25.625,20.0,100.0,0
5,mark_coarsen,800,0.0375110000022687,0.04151899999123998,0.004007999988971278,0.036419,0.039241,0.002821999999999998,0.023917125,0.025870375,0.00195325,0.016375,0.017633999999999997,0.0012589999999999962,0.5583460949464012,0.5939849624060151,3.5638867459613865,56.875,30.0,100.0,0
2,heat_update,900,153.09285900002578,150.2217299999902,-2.8711290000355802,152.38607,145.351775,-7.034294999999986,103.526875,127.1184630625,23.591588062499994,97.092772,48.18371400000001,-48.90905799999999,0.7238932522514744,0.7194377005610936,-0.445555169038081,65.0,30.0,100.0,16
3,importance,900,0.2781320000067353,0.2655220000015106,-0.01261000000522472,0.277267,0.264299,-0.01296799999999998,0.20207150000000001,0.197069875,-0.0050016250000000095,0.15796699999999997,0.159757,0.0017900000000000416,0.6446719262784987,0.6433782427977641,-0.12936834807345532,60.0,20.0,100.0,0
4,mark_refine,900,0.031587000004947186,0.04738299999735318,0.015795999992405996,0.029987,0.04048,0.010493000000000002,0.0247224375,0.025626125,0.0009036875,0.008306000000000001,0.018606,0.0103,0.7748431825685045,0.7368844544576763,-3.7958728110828233,25.625,20.0,100.0,0
