region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
100,2,heat_update,18849.014563,19087.107862,238.09329900000012,19023.125647,19270.203027,247.0773799999988,174.11108400000012,183.09516499999881,8.984080999998696
100,3,importance,19023.241297,19270.389495,247.14819799999896,19023.546635,19270.739458,247.19282300000123,0.3053379999983008,0.3499630000005709,0.0446250000022701
100,4,mark_refine,19023.726405,19271.329076,247.60267100000056,19023.75838,19271.36883,247.61045000000013,0.031974999998055864,0.03975399999762885,0.007778999999572989
100,5,mark_coarsen,19023.793809,19271.427926,247.63411700000142,19023.823201,19271.471994,247.6487930000003,0.0293920000003709,0.0440679999992426,0.014675999998871703
200,2,heat_update,37028.675742,37355.403087,326.72734499999933,37209.689578,37542.057946,332.3683680000031,181.01383599999826,186.65485900000203,5.64102300000377
200,3,importance,37209.771389,37542.283595,332.5122059999994,37210.082748,37542.657949,332.57520099999965,0.31135899999935646,0.37435399999958463,0.06299500000022817
200,4,mark_refine,37210.258472,37543.506464,333.2479919999969,37210.290305,37543.567089,333.2767839999942,0.03183300000091549,0.06062499999825377,0.02879199999733828
200,5,mark_coarsen,37210.330949,37543.640304,333.3093549999976,37210.36157,37543.680827,333.31925699999556,0.03062099999806378,0.040522999996028375,0.009901999997964595
300,2,heat_update,55444.436122,55787.061509,342.62538700000005,55627.091105,55971.310041,344.2189359999975,182.65498300000036,184.2485319999978,1.593548999997438
300,3,importance,55627.181039,55971.536963,344.35592399999587,55627.490398,55971.841756,344.3513579999999,0.309358999998949,0.3047930000029737,-0.0045659999959752895
300,4,mark_refine,55627.685617,55972.692211,345.0065939999986,55627.717735,55972.746502,345.0287670000034,0.032117999995534774,0.05429100000037579,0.022173000004841015
300,5,mark_coarsen,55627.748862,55972.822926,345.07406400000036,55627.77744,55972.864163,345.08672300000035,0.028577999997651204,0.0412369999976363,0.012658999999985099
400,2,heat_update,73780.508756,74125.843281,345.3345249999984,73961.850554,74313.16923,351.3186759999953,181.34179800000857,187.3259490000055,5.984150999996928
400,3,importance,73961.948972,74313.373302,351.4243300000089,73962.25824,74313.75196,351.4937199999986,0.3092679999972461,0.3786579999868991,0.069389999989653
400,4,mark_refine,73962.435317,74314.612162,352.17684500000905,73962.466165,74314.673536,352.2073709999968,0.03084800000942778,0.061373999997158535,0.030525999987730756
400,5,mark_coarsen,73962.494792,74314.743496,352.2487039999978,73962.531588,74314.78384,352.2522520000057,0.03679600000032224,0.04034400000819005,0.003548000007867813
500,2,heat_update,91947.29958,92322.835467,375.5358869999909,92125.205664,92505.169207,379.9635430000053,177.90608399998746,182.33374000000185,4.4276560000143945
500,3,importance,92125.287876,92505.374073,380.0861969999969,92125.591637,92505.732435,380.1407979999931,0.3037610000028508,0.3583619999990333,0.05460099999618251
500,4,mark_refine,92125.764756,92506.572681,380.807925000001,92125.794839,92506.622001,380.8271620000014,0.030082999990554526,0.0493199999909848,0.01923700000043027
500,5,mark_coarsen,92125.834318,92506.68529,380.8509720000002,92125.871654,92506.726522,380.8548679999949,0.03733600000850856,0.04123200000321958,0.003895999994711019
600,2,heat_update,109387.26763,109834.260988,446.99335799999244,109554.247201,110008.801776,454.5545749999874,166.9795710000035,174.54078799999843,7.56121699999494
600,3,importance,109554.333255,110008.993801,454.66054599999916,109554.62505,110009.342445,454.71739499999967,0.29179499999736436,0.34864399999787565,0.056849000000511296
600,4,mark_refine,109554.812111,110010.17625,455.3641389999975,109554.845096,110010.227628,455.3825319999887,0.03298499999800697,0.05137799998919945,0.018392999991192482
600,5,mark_coarsen,109554.875713,110010.297008,455.4212949999928,109554.916743,110010.337783,455.4210400000011,0.04102999999304302,0.04077500000130385,-0.00025499999173916876
700,2,heat_update,125771.152412,126302.476641,531.3242290000053,125931.566767,126463.2018,531.6350329999987,160.4143550000008,160.72515899999416,0.31080399999336805
700,3,importance,125931.652436,126463.391673,531.7392370000016,125931.93512,126463.673266,531.7381460000033,0.28268399999069516,0.2815929999924265,-0.0010909999982686713
700,4,mark_refine,125932.117586,126464.50657,532.3889840000047,125932.150386,126464.55764,532.4072540000052,0.03280000000086147,0.05107000000134576,0.018270000000484288
700,5,mark_coarsen,125932.185215,126464.622512,532.4372969999968,125932.225936,126464.65335,532.4274139999907,0.040720999997574836,0.030837999991490506,-0.00988300000608433
800,2,heat_update,141615.19104,142244.429613,629.2385729999805,141767.178048,142404.221057,637.0430089999863,151.98700799999642,159.79144400000223,7.804436000005808
800,3,importance,141767.271621,142404.402286,637.1306650000042,141767.540097,142404.731416,637.191319000005,0.2684759999974631,0.3291299999982584,0.06065400000079535
800,4,mark_refine,141767.714099,142405.576951,637.8628519999911,141767.744678,142405.627889,637.8832110000076,0.03057899998384528,0.05093800000031479,0.02035900001646951
800,5,mark_coarsen,141767.774239,142405.689208,637.9149690000049,141767.81175,142405.730727,637.9189769999939,0.0375110000022687,0.04151899999123998,0.004007999988971278
900,2,heat_update,156914.773669,157662.310941,747.537272000016,157067.866528,157812.532671,744.6661429999804,153.09285900002578,150.2217299999902,-2.8711290000355802
900,3,importance,157067.946968,157812.741611,744.7946430000011,157068.2251,157813.007133,744.7820329999959,0.2781320000067353,0.2655220000015106,-0.01261000000522472
900,4,mark_refine,157068.404169,157813.836719,745.4325500000268,157068.435756,157813.884102,745.4483460000192,0.031587000004947186,0.04738299999735318,0.015795999992405996
900,5,mark_coarsen,157068.479139,157813.95021,745.4710710000072,157068.519944,157813.979647,745.4597030000004,0.04080499999690801,0.029436999990139157,-0.011368000006768852
1000,2,heat_update,171768.735501,172640.994054,872.2585530000215,171911.250581,172793.513522,882.2629409999936,142.51508000001195,152.51946799998404,10.004387999972096
1000,3,importance,171911.336467,172793.706943,882.370476000011,171911.60231,172794.028757,882.4264470000053,0.2658430000010412,0.3218139999953564,0.05597099999431521
1000,4,mark_refine,171911.790415,172794.860348,883.0699329999916,171911.823939,172794.909452,883.0855129999982,0.0335239999985788,0.049104000005172566,0.015580000006593764
1000,5,mark_coarsen,171911.856671,172794.978353,883.1216820000263,171911.887045,172795.00927,883.1222249999992,0.030374000023584813,0.030916999996406958,0.0005429999728221446
