region,thread_id,common_events,measure_elapsed_mean_ms,resctrl_elapsed_mean_ms,delta_elapsed_mean_ms,faster_events,slower_events,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_rows
heat_update,0,20,54.22041835,89.35354785,35.1331295,0,20,32.0,30.0,40.0,20
heat_update,1,20,55.20339895,89.33148415,34.1280852,0,20,33.5,30.0,40.0,20
heat_update,2,20,56.88962065,94.57575295000001,37.686132300000004,0,20,34.0,30.0,40.0,20
heat_update,3,20,57.58392335,98.1205179,40.53659455,0,20,34.5,30.0,40.0,20
heat_update,4,20,128.5242855,125.6962741,-2.828011399999999,17,3,100.0,100.0,100.0,20
heat_update,5,20,129.12314245,126.81286195,-2.310280500000001,16,4,100.0,100.0,100.0,20
heat_update,6,20,128.07299185,122.2782853,-5.794706550000001,20,0,100.0,100.0,100.0,20
heat_update,7,20,135.49672575,131.12441495,-4.372310800000001,18,2,100.0,100.0,100.0,20
heat_update,8,20,133.59317665,131.0281654,-2.56501125,17,3,100.0,100.0,100.0,20
heat_update,9,20,128.84673195,123.92843755,-4.918294400000002,20,0,100.0,100.0,100.0,20
heat_update,10,20,134.07012685,128.71664005,-5.353486800000002,20,0,100.0,100.0,100.0,20
heat_update,11,20,132.34428805,129.10490875,-3.239379299999998,18,2,100.0,100.0,100.0,20
heat_update,12,20,65.61410805,107.0243961,41.41028805,0,20,42.5,30.0,60.0,20
heat_update,13,20,66.85584779999999,108.33782335000001,41.48197555,0,20,42.5,30.0,60.0,20
heat_update,14,20,65.7013049,107.5888538,41.8875489,0,20,42.5,30.0,60.0,20
heat_update,15,20,60.4036757,105.76018055,45.35650485,0,20,38.5,30.0,50.0,20
