region_exec,region_id,region,measure_start_ms,resctrl_start_ms,delta_start_ms,measure_end_ms,resctrl_end_ms,delta_end_ms,measure_wall_ms,resctrl_wall_ms,delta_wall_ms
100,2,heat_update,19078.179341,18903.217562,-174.96177899999748,19254.977498,19089.889155,-165.08834299999944,176.79815700000108,186.67159299999912,9.873435999998037
100,3,importance,19255.090975,19090.066066,-165.02490899999975,19255.3843,19090.440522,-164.94377800000075,0.29332500000236905,0.37445600000137347,0.08113099999900442
100,4,mark_refine,19255.560764,19091.04233,-164.51843400000143,19255.592429,19091.082194,-164.51023500000156,0.031664999998611165,0.039863999998488,0.008198999999876833
100,5,mark_coarsen,19255.627166,19091.138589,-164.48857700000008,19255.654669,19091.179735,-164.47493399999803,0.027503000001161126,0.04114600000320934,0.013643000002048211
200,2,heat_update,37392.665952,37024.252679,-368.4132730000056,37574.497773,37218.692793,-355.8049800000008,181.83182099999976,194.44011400000454,12.608293000004778
200,3,importance,37574.577797,37218.923964,-355.65383299999667,37574.871923,37219.305225,-355.56669800000236,0.2941260000006878,0.38126099999499274,0.08713499999430496
200,4,mark_refine,37575.046373,37220.132467,-354.9139059999943,37575.077138,37220.180936,-354.89620200000354,0.030765000003157184,0.048468999993929174,0.01770399999077199
200,5,mark_coarsen,37575.117809,37220.249017,-354.8687920000011,37575.147348,37220.290632,-354.85671600000205,0.029538999995565973,0.04161499999463558,0.012075999999069609
300,2,heat_update,55875.095146,55157.149,-717.946146000002,56057.64365,55343.534026,-714.109623999997,182.5485039999985,186.38502600000356,3.8365220000050613
300,3,importance,56057.725065,55343.759454,-713.9656109999996,56058.020448,55344.116931,-713.9035170000061,0.2953830000042217,0.3574769999977434,0.06209399999352172
300,4,mark_refine,56058.219866,55344.992028,-713.2278379999989,56058.252649,55345.039863,-713.2127860000037,0.03278300000238232,0.04783499999757623,0.01505199999519391
300,5,mark_coarsen,56058.289044,55345.108159,-713.1808849999943,56058.317842,55345.15047,-713.1673719999962,0.028797999999369495,0.042310999997425824,0.01351299999805633
400,2,heat_update,74360.08818,73192.735213,-1167.352966999999,74542.776908,73371.502047,-1171.274860999998,182.68872799999372,178.76683399999456,-3.921893999999156
400,3,importance,74542.875536,73371.713214,-1171.1623220000038,74543.179155,73372.008666,-1171.170489000011,0.30361899999843445,0.29545199999120086,-0.008167000007233582
400,4,mark_refine,74543.353472,73372.861043,-1170.4924290000054,74543.384359,73372.908606,-1170.475753000006,0.0308870000008028,0.047563000000081956,0.016675999999279156
400,5,mark_coarsen,74543.412018,73372.982006,-1170.430011999997,74543.439059,73373.022781,-1170.4162779999897,0.02704099999391474,0.04077500000130385,0.013734000007389113
500,2,heat_update,92639.669926,91068.88943,-1570.7804960000067,92817.577234,91245.07551,-1572.5017240000016,177.90730799999437,176.1860799999995,-1.7212279999948805
500,3,importance,92817.661935,91245.279892,-1572.3820429999905,92817.958003,91245.577657,-1572.3803460000054,0.296068000010564,0.2977649999957066,0.001696999985142611
500,4,mark_refine,92818.132352,91246.421336,-1571.711016000001,92818.176239,91246.475581,-1571.700657999987,0.04388699999253731,0.05424500000663102,0.010358000014093705
500,5,mark_coarsen,92818.222371,91246.547649,-1571.674721999996,92818.25228,91246.578334,-1571.6739459999953,0.02990900000440888,0.030685000005178154,0.0007760000007692724
600,2,heat_update,110166.37134,108368.453409,-1797.9179310000036,110332.775237,108543.680116,-1789.0951209999912,166.4038969999965,175.2267070000089,8.822810000012396
600,3,importance,110332.858901,108543.865738,-1788.9931630000065,110333.144922,108544.210742,-1788.934180000011,0.28602100000716746,0.3450040000025183,0.05898299999535084
600,4,mark_refine,110333.33488,108545.030701,-1788.3041789999988,110333.366471,108545.078955,-1788.2875159999967,0.03159100000630133,0.04825400000845548,0.01666300000215415
600,5,mark_coarsen,110333.397083,108545.141568,-1788.255514999997,110333.424122,108545.174323,-1788.2497989999974,0.027038999993237667,0.03275499999290332,0.005715999999665655
700,2,heat_update,126632.650802,124743.281127,-1889.369675000009,126791.719865,124904.261654,-1887.4582110000047,159.06906300000264,160.980527000007,1.9114640000043437
700,3,importance,126791.829683,124904.455193,-1887.374490000002,126792.104761,124904.780079,-1887.3246819999913,0.2750779999914812,0.3248860000021523,0.049808000010671094
700,4,mark_refine,126792.28149,124905.623372,-1886.658117999992,126792.312918,124905.670854,-1886.6420639999997,0.031428000002051704,0.04748199999448843,0.01605399999243673
700,5,mark_coarsen,126792.346399,124905.736694,-1886.6097049999953,126792.373054,124905.76702,-1886.6060339999967,0.026654999994207174,0.03032599999278318,0.003670999998576008
800,2,heat_update,142629.162188,140809.204814,-1819.9573739999905,142783.415759,140970.828359,-1812.5873999999894,154.25357100000838,161.62354500000947,7.369974000001093
800,3,importance,142783.505841,140971.04517,-1812.460671000008,142783.777654,140971.310252,-1812.4674020000093,0.27181299999938346,0.265081999998074,-0.0067310000013094395
800,4,mark_refine,142783.951441,140972.13512,-1811.8163210000203,142783.983451,140972.179435,-1811.8040160000091,0.0320099999953527,0.04431500000646338,0.012305000011110678
800,5,mark_coarsen,142784.01262,140972.240488,-1811.7721319999837,142784.04011,140972.272765,-1811.7673450000002,0.027490000007674098,0.0322769999911543,0.0047869999834802
900,2,heat_update,158034.982553,156390.784878,-1644.197675000003,158184.339736,156540.7744,-1643.5653359999997,149.35718299998553,149.98952199998894,0.6323390000034124
900,3,importance,158184.422965,156540.999744,-1643.4232210000046,158184.688494,156541.265719,-1643.4227750000136,0.2655289999966044,0.2659749999875203,0.0004459999909158796
900,4,mark_refine,158184.861943,156542.106386,-1642.7555569999968,158184.892653,156542.153887,-1642.738765999995,0.030709999991813675,0.047500999993644655,0.01679100000183098
900,5,mark_coarsen,158184.93437,156542.213947,-1642.7204229999916,158184.96083,156542.245308,-1642.715521999984,0.02645999999367632,0.03136100000119768,0.004901000007521361
1000,2,heat_update,173037.742365,171448.354661,-1589.3877040000225,173182.519518,171594.845797,-1587.6737209999992,144.77715299997362,146.4911359999969,1.7139830000232905
