region,thread_id,common_events,measure_elapsed_mean_ms,resctrl_elapsed_mean_ms,delta_elapsed_mean_ms,faster_events,slower_events,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_rows
heat_update,0,5,60.432904199999996,102.467482,42.0345778,0,5,32.0,30.0,40.0,5
heat_update,1,5,59.5459034,108.6620422,49.1161388,0,5,32.0,30.0,40.0,5
heat_update,2,5,61.1716014,117.1619204,55.990319,0,5,32.0,30.0,40.0,5
heat_update,3,5,62.4098578,118.0768992,55.6670414,0,5,32.0,30.0,40.0,5
heat_update,4,5,168.5091566,167.4928002,-1.0163564000000123,4,1,100.0,100.0,100.0,5
heat_update,5,5,169.2168498,168.5198038,-0.6970460000000003,4,1,100.0,100.0,100.0,5
heat_update,6,5,170.2765456,165.1486934,-5.127852199999995,4,1,100.0,100.0,100.0,5
heat_update,7,5,178.6972092,176.9286342,-1.7685749999999927,4,1,100.0,100.0,100.0,5
heat_update,8,5,176.143545,177.3855122,1.241967199999999,3,2,100.0,100.0,100.0,5
heat_update,9,5,168.248391,164.9508292,-3.2975617999999995,5,0,100.0,100.0,100.0,5
heat_update,10,5,175.7035926,172.1172906,-3.5863020000000008,5,0,100.0,100.0,100.0,5
heat_update,11,5,176.1395122,172.1903298,-3.9491824000000006,4,1,100.0,100.0,100.0,5
heat_update,12,5,68.044885,140.64058839999998,72.59570339999999,0,5,34.0,30.0,50.0,5
heat_update,13,5,70.5258768,144.8012844,74.2754076,0,5,34.0,30.0,50.0,5
heat_update,14,5,69.7816134,143.1110876,73.3294742,0,5,34.0,30.0,50.0,5
heat_update,15,5,62.1454662,117.8162374,55.670771200000004,0,5,32.0,30.0,40.0,5
