region_id,region,region_exec,measure_wall_ms,resctrl_wall_ms,delta_wall_ms,measure_max_thread_ms,resctrl_max_thread_ms,delta_max_thread_ms,measure_mean_thread_ms,resctrl_mean_thread_ms,delta_mean_thread_ms,measure_imbalance_ms,resctrl_imbalance_ms,delta_imbalance_ms,measure_llc_miss_rate,resctrl_llc_miss_rate,delta_llc_miss_rate_pct_point,resctrl_target_mean,resctrl_target_min,resctrl_target_max,resctrl_applied_threads,resctrl_enabled_threads
2,heat_update,100,174.61157000000094,185.54947800000082,10.93790799999988,172.582017,178.661479,6.079462000000007,115.5350365,126.14308125000001,10.608044750000005,113.390786,98.05822900000001,-15.332556999999994,0.7504051761310331,0.7587739800498112,0.8368803918778145,71.875,40.0,100.0,16,16
3,importance,100,0.293920000000071,0.3508320000000822,0.056912000000011176,0.293338,0.350321,0.056983000000000006,0.212731375,0.22021931250000001,0.007487937500000014,0.171035,0.234012,0.062977,0.6808871071156195,0.6957954395676815,1.4908332452062023,76.875,50.0,100.0,0,0
4,mark_refine,100,0.0322809999997844,0.04222799999843119,0.009946999998646788,0.030747,0.03609,0.005342999999999997,0.0248603125,0.025435375,0.0005750625000000009,0.008967,0.014212999999999996,0.005245999999999997,0.7671143137897151,0.7314072693383038,-3.5707044451411263,82.5,80.0,100.0,0,0
5,mark_coarsen,100,0.028850999999121996,0.03157400000054622,0.002723000001424225,0.028108,0.03003,0.001922,0.0250736875,0.0252243125,0.00015062499999999798,0.006354000000000002,0.008095000000000001,0.0017409999999999995,0.562822433017141,0.6093562574970012,4.65338244798602,90.0,80.0,100.0,0,0
2,heat_update,200,180.73108700000012,195.1353489999965,14.404261999996379,180.52415,188.675393,8.151243000000022,119.591240875,154.3746666875,34.7834258125,120.72430699999998,79.96220500000001,-40.76210199999997,0.7593817546925511,0.7719192409687916,1.2537486276240517,65.0,30.0,100.0,16,16
3,importance,200,0.29826199999661185,0.3664909999934025,0.06822899999679066,0.29733,0.366011,0.06868099999999999,0.2115394375,0.2265898125,0.015050374999999977,0.180915,0.24216099999999996,0.06124599999999997,0.678855153637244,0.6934299556690136,1.457480203176953,66.875,30.0,100.0,0,0
4,mark_refine,200,0.031054999999469146,0.04959199999575503,0.018536999996285886,0.029135,0.042025,0.012889999999999999,0.022542625,0.0253593125,0.0028166875000000015,0.008758000000000002,0.020105,0.011347,0.7772335754095592,0.7531204111600588,-2.4113164249500385,62.5,50.0,100.0,0,0
5,mark_coarsen,200,0.027185999999346677,0.03312800000276184,0.00594200000341516,0.026665,0.031121,0.004455999999999998,0.02292575,0.0250698125,0.0021440624999999984,0.00665,0.009652,0.003002000000000001,0.5481304693715194,0.5967244701348747,4.859400076335529,66.875,50.0,100.0,0,0
2,heat_update,300,183.6560490000047,182.49815300000046,-1.157896000004257,183.38265,177.725712,-5.656938000000025,121.067192625,152.4238116875,31.356619062500002,123.10872800000001,69.09593399999999,-54.01279400000003,0.7597505660166329,0.7732366306385275,1.3486064621894611,65.0,30.0,100.0,16,16
3,importance,300,0.29792100000486244,0.36845999999786727,0.07053899999300484,0.297075,0.367385,0.07031000000000004,0.215796125,0.223261375,0.007465250000000007,0.17473299999999997,0.243147,0.06841400000000003,0.6822849458714225,0.6938399950560656,1.1555049184643118,61.875,20.0,100.0,0,0
4,mark_refine,300,0.0328910000025644,0.049544999994395766,0.01665399999183137,0.031381,0.041784,0.010403000000000003,0.024166625,0.0250856875,0.000919062499999998,0.009561999999999998,0.019931,0.010369000000000003,0.7836571825121443,0.7612195957519698,-2.243758676017449,43.125,30.0,100.0,0,0
5,mark_coarsen,300,0.033487000000604894,0.031104000001505483,-0.002382999999099411,0.03251,0.029483,-0.0030269999999999984,0.025155999999999998,0.0245609375,-0.0005950624999999966,0.010840999999999996,0.008006,-0.0028349999999999972,0.5169984686064318,0.5607522485690924,4.375377996266061,65.625,40.0,100.0,0,0
2,heat_update,400,180.65707800000382,181.38998899998842,0.7329109999845969,180.44687,176.293742,-4.153127999999981,119.46126475,152.3973575625,32.93609281249999,120.78593,67.35230000000001,-53.43362999999998,0.7593017814282986,0.7744491125833205,1.514733115502187,65.0,30.0,100.0,16,16
3,importance,400,0.2996430000057444,0.30326200000126846,0.0036189999955240637,0.298047,0.301124,0.0030769999999999964,0.2111330625,0.217231375,0.006098312500000008,0.186808,0.173559,-0.01324900000000001,0.6765091818904972,0.6946771217079312,1.816793981743392,60.0,20.0,100.0,0,0
4,mark_refine,400,0.031524000005447306,0.04711899999529123,0.015594999989843927,0.028985,0.041782,0.012797,0.0225763125,0.0248928125,0.002316499999999999,0.008813999999999999,0.019959,0.011145000000000002,0.8017452006980803,0.7856771284896826,-1.6068072208397677,33.75,20.0,100.0,0,0
5,mark_coarsen,400,0.02723399999376852,0.02906599998823367,0.00183199999446515,0.026445,0.027821,0.0013759999999999988,0.0229754375,0.0246435,0.0016680624999999977,0.006498,0.006168,-0.00033000000000000043,0.5170288679857282,0.6048203728967713,8.779150491104303,61.875,40.0,100.0,0,0
2,heat_update,500,176.9978950000077,193.81437800001004,16.816483000002336,176.550359,188.907301,12.356942000000004,117.1555496875,151.37090625,34.21535656249999,117.74677799999998,83.45754899999999,-34.28922899999999,0.7562399743113846,0.7717754485046968,1.5535474193312249,65.0,30.0,100.0,16,16
3,importance,500,0.2910239999910118,0.38635999998950865,0.09533599999849685,0.289881,0.384803,0.094922,0.2083906875,0.2263626875,0.017971999999999988,0.172741,0.25439900000000004,0.08165800000000004,0.6744013352863031,0.6878024431164294,1.3401107830126269,60.0,20.0,100.0,0,0
4,mark_refine,500,0.029756999996607192,0.05084999999962747,0.02109300000302028,0.027924,0.041647,0.013723000000000003,0.0228309375,0.026346375000000002,0.003515437500000003,0.007557000000000001,0.018600000000000002,0.011043,0.7817418677859391,0.7691761363636364,-1.2565731422302773,30.0,20.0,100.0,0,0
